Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Sne-CTaw_075-Ex1-lcwgs.clmp.fp2_r1_screen	23362.0	14567.0	2594.0	1251.0	897.0	211.0	192.0	53.0	2.0	0.0	0.0	54060.0	1283331.0
Sne-CTaw_075-Ex1-lcwgs.clmp.fp2_r2_screen	23289.0	14601.0	2524.0	1201.0	893.0	195.0	173.0	67.0	4.0	1.0	0.0	53827.0	1283745.0
Sne-CTaw_076-Ex1-lcwgs.clmp.fp2_r1_screen	77472.0	603300.0	75343.0	53390.0	41072.0	10700.0	9639.0	2352.0	95.0	0.0	0.0	2007518.0	57137465.0
Sne-CTaw_076-Ex1-lcwgs.clmp.fp2_r2_screen	77306.0	604928.0	73694.0	52625.0	40080.0	10253.0	9343.0	2191.0	97.0	0.0	0.0	1998360.0	57149469.0
Sne-CTaw_077-Ex1-lcwgs.clmp.fp2_r1_screen	36828.0	542048.0	62616.0	45986.0	35367.0	9782.0	9075.0	2071.0	85.0	0.0	0.0	1823864.0	46528300.0
Sne-CTaw_077-Ex1-lcwgs.clmp.fp2_r2_screen	36723.0	544559.0	61752.0	45501.0	34382.0	9347.0	8754.0	2047.0	86.0	0.0	0.0	1824571.0	46528300.0
Sne-CTaw_078-Ex1-lcwgs.clmp.fp2_r1_screen	6846.0	65663.0	7631.0	5528.0	6867.0	1086.0	1091.0	230.0	9.0	0.0	0.0	214779.0	6238462.0
Sne-CTaw_078-Ex1-lcwgs.clmp.fp2_r2_screen	6862.0	66116.0	7552.0	5452.0	6952.0	1015.0	1049.0	283.0	13.0	0.0	0.0	215091.0	6237807.0
Sne-CTaw_081-Ex1-lcwgs.clmp.fp2_r1_screen	4849.0	46727.0	5616.0	3905.0	3067.0	673.0	674.0	167.0	9.0	0.0	0.0	144040.0	4450853.0
Sne-CTaw_081-Ex1-lcwgs.clmp.fp2_r2_screen	4821.0	46904.0	5568.0	3932.0	3035.0	713.0	670.0	168.0	7.0	0.0	0.0	144375.0	4450387.0
Sne-CTaw_082-Ex1-lcwgs.clmp.fp2_r1_screen	16423.0	126042.0	13654.0	10740.0	7395.0	2006.0	1844.0	540.0	16.0	0.0	0.0	408891.0	20396407.0
Sne-CTaw_082-Ex1-lcwgs.clmp.fp2_r2_screen	16412.0	125978.0	13468.0	10623.0	7253.0	1892.0	1716.0	510.0	10.0	0.0	0.0	409689.0	20396407.0
Sne-CTaw_084-Ex1-lcwgs.clmp.fp2_r1_screen	3937.0	57312.0	6607.0	5063.0	3842.0	1103.0	1038.0	184.0	6.0	0.0	0.0	201613.0	5223310.0
Sne-CTaw_084-Ex1-lcwgs.clmp.fp2_r2_screen	4002.0	57782.0	6631.0	5047.0	3727.0	983.0	966.0	196.0	7.0	0.0	0.0	199713.0	5224961.0
Sne-CTaw_087-Ex1-lcwgs.clmp.fp2_r1_screen	67685.0	191631.0	23129.0	16848.0	13154.0	2806.0	2599.0	716.0	24.0	0.0	0.0	615198.0	20240565.0
Sne-CTaw_087-Ex1-lcwgs.clmp.fp2_r2_screen	67597.0	192383.0	22725.0	16567.0	12815.0	2755.0	2603.0	702.0	16.0	1.0	0.0	611391.0	20244800.0
Sne-CTaw_089-Ex1-lcwgs.clmp.fp2_r1_screen	31868.0	26495.0	3282.0	2479.0	1707.0	366.0	350.0	102.0	6.0	0.0	0.0	97769.0	2342038.0
Sne-CTaw_089-Ex1-lcwgs.clmp.fp2_r2_screen	31649.0	26528.0	3181.0	2405.0	1584.0	384.0	351.0	97.0	3.0	0.0	0.0	96739.0	2343541.0
Sne-CTaw_093-Ex1-lcwgs.clmp.fp2_r1_screen	8439.0	113497.0	12144.0	9501.0	6935.0	1633.0	1602.0	445.0	43.0	0.0	0.0	386454.0	9325964.0
Sne-CTaw_093-Ex1-lcwgs.clmp.fp2_r2_screen	8437.0	113242.0	11884.0	9391.0	6809.0	1609.0	1582.0	443.0	13.0	0.0	0.0	386297.0	9326950.0
Sne-CTaw_094-Ex1-lcwgs.clmp.fp2_r1_screen	17833.0	169235.0	18317.0	15580.0	11105.0	2366.0	2351.0	641.0	43.0	0.0	0.0	614718.0	15824698.0
Sne-CTaw_094-Ex1-lcwgs.clmp.fp2_r2_screen	17771.0	168771.0	17939.0	15759.0	10716.0	2329.0	2331.0	631.0	20.0	0.0	0.0	615922.0	15824698.0
Sne-CTaw_095-Ex1-lcwgs.clmp.fp2_r1_screen	14615.0	130182.0	13703.0	11704.0	8305.0	1954.0	1835.0	497.0	16.0	0.0	0.0	458674.0	11718530.0
Sne-CTaw_095-Ex1-lcwgs.clmp.fp2_r2_screen	14727.0	130518.0	13544.0	11642.0	8056.0	1912.0	1896.0	498.0	23.0	0.0	0.0	458669.0	11718530.0
Sne-CTaw_096-Ex1-lcwgs.clmp.fp2_r1_screen	1533.0	10013.0	1145.0	910.0	607.0	139.0	146.0	34.0	1.0	0.0	0.0	37165.0	881392.0
Sne-CTaw_096-Ex1-lcwgs.clmp.fp2_r2_screen	1488.0	9958.0	1082.0	881.0	617.0	133.0	135.0	30.0	1.0	0.0	0.0	37088.0	881672.0
