Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Hte-CJol_028-Ex1-2C-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_028-Ex1-2C-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	141204.0	0.0	33-150	48.0	93.79860128353673	118.2753392255177	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Hte-CJol_030-Ex1-7B-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_030-Ex1-7B-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58460.0	0.0	33-150	46.0	97.67020184741703	113.14652754019842	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
Hte-CJol_030-Ex1-7B-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_030-Ex1-7B-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58460.0	0.0	33-150	46.0	97.86349640780021	111.82694149846049	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Hte-CJol_032-Ex1-4H-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_032-Ex1-4H-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	137203.0	0.0	33-150	47.0	96.33413454487648	107.58752359642281	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
Hte-CJol_032-Ex1-4H-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_032-Ex1-4H-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	137203.0	0.0	33-150	47.0	96.63929601548867	106.34317762731136	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
Hte-CJol_033-Ex1-6F-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_033-Ex1-6F-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	348664.0	0.0	33-150	46.0	96.1176717225643	120.52301642842393	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
Hte-CJol_033-Ex1-6F-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_033-Ex1-6F-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	348664.0	0.0	33-150	46.0	95.96165858757355	118.44222517954248	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Hte-CJol_034-Ex1-1D-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_034-Ex1-1D-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	133567.0	0.0	33-150	50.0	91.57300569979412	117.09536786781166	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
Hte-CJol_034-Ex1-1D-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_034-Ex1-1D-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	133567.0	0.0	33-150	50.0	92.30299511021667	114.69627228282435	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
Hte-CJol_035-Ex1-1F-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_035-Ex1-1F-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	714773.0	0.0	33-150	49.0	93.83630189048169	118.04994172975196	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
