Sample	Human	Bacteria_24k	Protists_1k	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Cha-CPnd_045-Ex1-6F-lcwgs-1-1.clmp.fp2_r2_screen	1566.0	1264.0	8603.0	1034.0	757.0	324.0	221.0	51.0	4.0	0.0	27614.0	1913180.0
Cha-CPnd_047-Ex1-1D-lcwgs-1-1.clmp.fp2_r1_screen	364.0	361.0	2177.0	265.0	195.0	83.0	59.0	14.0	3.0	0.0	7309.0	442275.0
Cha-CPnd_047-Ex1-1D-lcwgs-1-1.clmp.fp2_r2_screen	369.0	368.0	2175.0	296.0	177.0	84.0	69.0	9.0	2.0	0.0	7190.0	442366.0
Cha-CPnd_048-Ex1-5A-lcwgs-1-1.clmp.fp2_r1_screen	1543.0	800.0	6439.0	859.0	626.0	299.0	153.0	39.0	4.0	0.0	18766.0	1476996.0
Cha-CPnd_048-Ex1-5A-lcwgs-1-1.clmp.fp2_r2_screen	1505.0	843.0	6527.0	830.0	624.0	277.0	171.0	39.0	1.0	0.0	19013.0	1476694.0
Cha-CPnd_049-Ex1-2B-lcwgs-1-1.clmp.fp2_r1_screen	470.0	231.0	2457.0	331.0	210.0	143.0	66.0	12.0	3.0	0.0	7901.0	530530.0
Cha-CPnd_049-Ex1-2B-lcwgs-1-1.clmp.fp2_r2_screen	464.0	233.0	2469.0	328.0	198.0	127.0	64.0	6.0	2.0	0.0	7933.0	530530.0
Cha-CPnd_051-Ex1-1C-lcwgs-1-1.clmp.fp2_r1_screen	757.0	576.0	4098.0	512.0	366.0	123.0	97.0	18.0	1.0	0.0	13698.0	841264.0
Cha-CPnd_051-Ex1-1C-lcwgs-1-1.clmp.fp2_r2_screen	802.0	600.0	4044.0	476.0	343.0	138.0	107.0	23.0	3.0	0.0	13624.0	841350.0
Cha-CPnd_052-Ex1-3E-lcwgs-1-1.clmp.fp2_r1_screen	401.0	216.0	2198.0	258.0	178.0	72.0	56.0	10.0	0.0	0.0	8099.0	391585.0
Cha-CPnd_052-Ex1-3E-lcwgs-1-1.clmp.fp2_r2_screen	387.0	215.0	2161.0	242.0	182.0	68.0	44.0	9.0	0.0	0.0	7979.0	391786.0
Cha-CPnd_053-Ex1-3D-lcwgs-1-1.clmp.fp2_r1_screen	777.0	633.0	3969.0	527.0	428.0	155.0	91.0	32.0	6.0	0.0	13621.0	903896.0
Cha-CPnd_053-Ex1-3D-lcwgs-1-1.clmp.fp2_r2_screen	780.0	655.0	3903.0	481.0	418.0	183.0	99.0	24.0	1.0	0.0	13418.0	904173.0
Cha-CPnd_054-Ex1-1H-lcwgs-1-1.clmp.fp2_r1_screen	943.0	698.0	5017.0	659.0	502.0	266.0	116.0	32.0	2.0	0.0	16022.0	1153262.0
Cha-CPnd_054-Ex1-1H-lcwgs-1-1.clmp.fp2_r2_screen	944.0	710.0	5154.0	625.0	451.0	271.0	138.0	32.0	2.0	0.0	16166.0	1153026.0
Cha-CPnd_059-Ex1-8A-lcwgs-1-1.clmp.fp2_r1_screen	822.0	292.0	3856.0	524.0	415.0	167.0	96.0	23.0	10.0	0.0	12804.0	856936.0
Cha-CPnd_059-Ex1-8A-lcwgs-1-1.clmp.fp2_r2_screen	773.0	292.0	4022.0	510.0	376.0	159.0	96.0	22.0	3.0	0.0	13018.0	856674.0
Cha-CPnd_060-Ex1-1F-lcwgs-1-1.clmp.fp2_r1_screen	2198.0	1554.0	11336.0	1441.0	1059.0	595.0	285.0	68.0	3.0	0.0	39380.0	2449397.0
Cha-CPnd_060-Ex1-1F-lcwgs-1-1.clmp.fp2_r2_screen	2134.0	1495.0	11287.0	1483.0	1061.0	525.0	260.0	64.0	11.0	0.0	39599.0	2449397.0
Cha-CPnd_061-Ex1-5D-lcwgs-1-1.clmp.fp2_r1_screen	1599.0	978.0	6107.0	805.0	659.0	272.0	139.0	39.0	5.0	0.0	20382.0	1383828.0
Cha-CPnd_061-Ex1-5D-lcwgs-1-1.clmp.fp2_r2_screen	1536.0	1004.0	6203.0	833.0	584.0	291.0	151.0	24.0	3.0	0.0	20497.0	1383687.0
Cha-CPnd_062-Ex1-1E-lcwgs-1-1.clmp.fp2_r1_screen	2597.0	1571.0	13567.0	1693.0	1269.0	571.0	362.0	76.0	5.0	0.0	48170.0	2955267.0
Cha-CPnd_062-Ex1-1E-lcwgs-1-1.clmp.fp2_r2_screen	2413.0	1565.0	13660.0	1747.0	1229.0	559.0	312.0	82.0	6.0	0.0	48611.0	2954964.0
Cha-CPnd_064-Ex1-7H-lcwgs-1-1.clmp.fp2_r1_screen	693.0	5392.0	5120.0	474.0	341.0	140.0	106.0	157.0	3.0	0.0	15864.0	789314.0
Cha-CPnd_064-Ex1-7H-lcwgs-1-1.clmp.fp2_r2_screen	640.0	5432.0	5118.0	517.0	318.0	132.0	101.0	161.0	3.0	0.0	15704.0	789478.0
Cha-CPnd_065-Ex1-7A-lcwgs-1-1.clmp.fp2_r1_screen	682.0	387.0	3887.0	492.0	362.0	159.0	99.0	26.0	4.0	0.0	13529.0	819093.0
Cha-CPnd_065-Ex1-7A-lcwgs-1-1.clmp.fp2_r2_screen	729.0	400.0	4054.0	496.0	335.0	158.0	108.0	17.0	3.0	0.0	13494.0	818926.0
Cha-CPnd_066-Ex1-3B-lcwgs-1-1.clmp.fp2_r1_screen	796.0	327.0	3634.0	516.0	420.0	202.0	84.0	28.0	2.0	0.0	14496.0	984597.0
Cha-CPnd_066-Ex1-3B-lcwgs-1-1.clmp.fp2_r2_screen	748.0	327.0	3638.0	498.0	439.0	194.0	76.0	27.0	3.0	0.0	14354.0	984798.0
Cha-CPnd_067-Ex1-2A-lcwgs-1-1.clmp.fp2_r1_screen	604.0	267.0	3018.0	416.0	281.0	115.0	92.0	13.0	2.0	0.0	10699.0	644360.0
Cha-CPnd_067-Ex1-2A-lcwgs-1-1.clmp.fp2_r2_screen	532.0	244.0	3081.0	371.0	273.0	137.0	76.0	15.0	3.0	0.0	10775.0	644360.0
Cha-CPnd_069-Ex1-2G-lcwgs-1-1.clmp.fp2_r1_screen	2255.0	1134.0	10888.0	1432.0	1183.0	474.0	264.0	65.0	4.0	0.0	36485.0	2465994.0
Cha-CPnd_069-Ex1-2G-lcwgs-1-1.clmp.fp2_r2_screen	2115.0	1114.0	11088.0	1408.0	1143.0	479.0	267.0	66.0	3.0	0.0	36501.0	2465994.0
Cha-CPnd_070-Ex1-3F-lcwgs-1-1.clmp.fp2_r1_screen	478.0	266.0	2696.0	323.0	211.0	94.0	51.0	12.0	1.0	0.0	8744.0	554319.0
Cha-CPnd_070-Ex1-3F-lcwgs-1-1.clmp.fp2_r2_screen	479.0	269.0	2684.0	333.0	203.0	93.0	58.0	15.0	4.0	0.0	8965.0	554092.0
Cha-CPnd_071-Ex1-6D-lcwgs-1-1.clmp.fp2_r1_screen	190.0	36104.0	2911.0	55.0	24.0	6.0	4.0	27.0	0.0	0.0	16981.0	146879.0
Cha-CPnd_071-Ex1-6D-lcwgs-1-1.clmp.fp2_r2_screen	196.0	36043.0	2921.0	44.0	17.0	3.0	6.0	29.0	0.0	0.0	16332.0	147590.0
Cha-CPnd_072-Ex1-3A-lcwgs-1-1.clmp.fp2_r1_screen	662.0	335.0	3330.0	403.0	348.0	147.0	73.0	14.0	4.0	0.0	11954.0	717609.0
Cha-CPnd_072-Ex1-3A-lcwgs-1-1.clmp.fp2_r2_screen	642.0	342.0	3244.0	429.0	299.0	130.0	78.0	29.0	2.0	0.0	11928.0	717756.0
Cha-CPnd_073-Ex1-2F-lcwgs-1-1.clmp.fp2_r1_screen	3093.0	1542.0	15482.0	2129.0	1554.0	804.0	414.0	110.0	11.0	0.0	54700.0	3565768.0
Cha-CPnd_073-Ex1-2F-lcwgs-1-1.clmp.fp2_r2_screen	3073.0	1538.0	15614.0	1991.0	1441.0	793.0	353.0	99.0	17.0	0.0	54556.0	3566132.0
Cha-CPnd_074-Ex1-2D-lcwgs-1-1.clmp.fp2_r1_screen	562.0	242.0	2706.0	360.0	300.0	108.0	64.0	18.0	2.0	0.0	10266.0	602551.0
Cha-CPnd_074-Ex1-2D-lcwgs-1-1.clmp.fp2_r2_screen	555.0	246.0	2788.0	328.0	251.0	117.0	59.0	26.0	4.0	0.0	10315.0	602490.0
Cha-CPnd_076-Ex1-4C-lcwgs-1-1.clmp.fp2_r1_screen	697.0	349.0	3536.0	477.0	350.0	130.0	94.0	17.0	4.0	1.0	12043.0	741859.0
Cha-CPnd_076-Ex1-4C-lcwgs-1-1.clmp.fp2_r2_screen	685.0	356.0	3619.0	451.0	306.0	134.0	67.0	15.0	2.0	0.0	12139.0	741783.0
Cha-CPnd_077-Ex1-6G-lcwgs-1-1.clmp.fp2_r1_screen	3246.0	2954.0	16652.0	2174.0	1661.0	736.0	470.0	93.0	10.0	0.0	54001.0	4256465.0
Cha-CPnd_077-Ex1-6G-lcwgs-1-1.clmp.fp2_r2_screen	3278.0	2866.0	17084.0	2157.0	1615.0	673.0	392.0	92.0	8.0	0.0	55134.0	4255163.0
Cha-CPnd_078-Ex1-4D-lcwgs-1-1.clmp.fp2_r1_screen	1109.0	497.0	5533.0	719.0	521.0	256.0	161.0	27.0	1.0	0.0	17105.0	1174482.0
Cha-CPnd_078-Ex1-4D-lcwgs-1-1.clmp.fp2_r2_screen	1080.0	490.0	5635.0	724.0	502.0	293.0	130.0	36.0	2.0	0.0	17037.0	1174482.0
Cha-CPnd_079-Ex1-4H-lcwgs-1-1.clmp.fp2_r1_screen	1866.0	1557.0	9686.0	1271.0	1012.0	411.0	238.0	51.0	6.0	0.0	31568.0	1998077.0
Cha-CPnd_079-Ex1-4H-lcwgs-1-1.clmp.fp2_r2_screen	1795.0	1515.0	9778.0	1220.0	863.0	388.0	228.0	58.0	7.0	0.0	31610.0	1998281.0
Cha-CPnd_081-Ex1-8C-lcwgs-1-1.clmp.fp2_r1_screen	748.0	270.0	3922.0	539.0	346.0	132.0	100.0	24.0	6.0	0.0	12969.0	791831.0
Cha-CPnd_081-Ex1-8C-lcwgs-1-1.clmp.fp2_r2_screen	768.0	275.0	3942.0	520.0	325.0	151.0	96.0	26.0	0.0	0.0	13034.0	791750.0
Cha-CPnd_082-Ex1-8B-lcwgs-1-1.clmp.fp2_r1_screen	683.0	290.0	4019.0	470.0	343.0	175.0	94.0	18.0	2.0	0.0	11518.0	768604.0
Cha-CPnd_082-Ex1-8B-lcwgs-1-1.clmp.fp2_r2_screen	696.0	298.0	3774.0	480.0	308.0	178.0	92.0	31.0	3.0	0.0	11752.0	768604.0
Cha-CPnd_083-Ex1-6A-lcwgs-1-1.clmp.fp2_r1_screen	331.0	43859.0	3731.0	41.0	8.0	3.0	1.0	155.0	0.0	0.0	20403.0	109196.0
Cha-CPnd_083-Ex1-6A-lcwgs-1-1.clmp.fp2_r2_screen	338.0	43136.0	3753.0	35.0	14.0	1.0	1.0	154.0	1.0	0.0	19873.0	110422.0
Cha-CPnd_084-Ex1-4F-lcwgs-1-1.clmp.fp2_r1_screen	729.0	407.0	3817.0	480.0	316.0	144.0	80.0	22.0	4.0	0.0	12869.0	754380.0
Cha-CPnd_084-Ex1-4F-lcwgs-1-1.clmp.fp2_r2_screen	705.0	392.0	3920.0	471.0	326.0	134.0	91.0	19.0	5.0	0.0	12959.0	754226.0
Cha-CPnd_085-Ex1-5C-lcwgs-1-1.clmp.fp2_r1_screen	1048.0	765.0	3538.0	428.0	351.0	131.0	82.0	23.0	7.0	0.0	12948.0	696257.0
Cha-CPnd_085-Ex1-5C-lcwgs-1-1.clmp.fp2_r2_screen	1059.0	780.0	3461.0	448.0	324.0	107.0	86.0	17.0	2.0	0.0	13037.0	696257.0
Cha-CPnd_086-Ex1-5G-lcwgs-1-1.clmp.fp2_r1_screen	2484.0	1776.0	10565.0	1359.0	959.0	471.0	259.0	66.0	6.0	0.0	36957.0	2242249.0
Cha-CPnd_086-Ex1-5G-lcwgs-1-1.clmp.fp2_r2_screen	2484.0	1688.0	10552.0	1323.0	931.0	455.0	271.0	58.0	12.0	0.0	36899.0	2242478.0
