Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Ecoli	Contamnts_Adaptrs	Multiple Genomes	No hits
Sgr-AJol_050-Ex12E-lwgs-1-1.clmp.fp2_r1_screen	132554.0	43110.0	11988.0	7486.0	3030.0	2980.0	1172.0	560.0	6.0	0.0	0.0	1136855.0	10179956.0
Sgr-AJol_050-Ex12E-lwgs-1-1.clmp.fp2_r2_screen	134590.0	42948.0	11890.0	7253.0	2909.0	3039.0	1158.0	545.0	8.0	0.0	0.0	1135401.0	10179956.0
Sgr-AJol_051-Ex13E-lwgs-1-1.clmp.fp2_r1_screen	84596.0	11250.0	6584.0	4560.0	1775.0	1797.0	611.0	235.0	0.0	0.0	0.0	407862.0	6574574.0
Sgr-AJol_051-Ex13E-lwgs-1-1.clmp.fp2_r2_screen	85355.0	11231.0	6536.0	4485.0	1713.0	1853.0	636.0	239.0	2.0	0.0	0.0	407220.0	6574574.0
Sgr-AJol_052-Ex14E-lwgs-1-1.clmp.fp2_r1_screen	45542.0	7769.0	4060.0	2528.0	1096.0	1001.0	375.0	270.0	5.0	0.0	0.0	226066.0	4187436.0
Sgr-AJol_052-Ex14E-lwgs-1-1.clmp.fp2_r2_screen	45393.0	7803.0	4069.0	2611.0	1118.0	984.0	338.0	311.0	1.0	0.0	0.0	226084.0	4187436.0
Sgr-AJol_053-Ex15E-lwgs-1-1.clmp.fp2_r1_screen	36300.0	7892.0	2936.0	1911.0	938.0	800.0	306.0	209.0	4.0	0.0	0.0	282673.0	2752618.0
Sgr-AJol_053-Ex15E-lwgs-1-1.clmp.fp2_r2_screen	36900.0	7858.0	2851.0	1942.0	950.0	811.0	304.0	230.0	1.0	0.0	0.0	282122.0	2752618.0
Sgr-AJol_054-Ex16E-lwgs-1-1.clmp.fp2_r1_screen	71177.0	42731.0	5309.0	3614.0	1681.0	1503.0	587.0	498.0	17.0	0.0	0.0	622156.0	4780412.0
Sgr-AJol_054-Ex16E-lwgs-1-1.clmp.fp2_r2_screen	72133.0	42760.0	5274.0	3617.0	1564.0	1494.0	529.0	472.0	7.0	0.0	0.0	619764.0	4782071.0
Sgr-AJol_055-Ex17E-lwgs-1-1.clmp.fp2_r1_screen	162200.0	62974.0	11705.0	7922.0	3242.0	3400.0	1167.0	630.0	13.0	0.0	0.0	1172752.0	9740831.0
Sgr-AJol_055-Ex17E-lwgs-1-1.clmp.fp2_r2_screen	163477.0	62808.0	11629.0	7935.0	3289.0	3398.0	1133.0	648.0	9.0	0.0	0.0	1170563.0	9741947.0
Sgr-AJol_056-Ex18E-lwgs-1-1.clmp.fp2_r1_screen	99734.0	28362.0	7805.0	5022.0	2335.0	2158.0	822.0	394.0	2.0	0.0	0.0	873213.0	6978952.0
Sgr-AJol_056-Ex18E-lwgs-1-1.clmp.fp2_r2_screen	101228.0	28351.0	7629.0	5156.0	2415.0	2055.0	780.0	439.0	3.0	0.0	0.0	870192.0	6980551.0
Sgr-AJol_057-Ex19E-lwgs-1-1.clmp.fp2_r1_screen	76273.0	18673.0	6050.0	4267.0	1863.0	1689.0	645.0	639.0	6.0	0.0	0.0	409601.0	6904665.0
Sgr-AJol_057-Ex19E-lwgs-1-1.clmp.fp2_r2_screen	77482.0	18699.0	5977.0	4232.0	1814.0	1708.0	672.0	642.0	4.0	0.0	0.0	409219.0	6903922.0
Sgr-AJol_058-Ex110E-lwgs-1-1.clmp.fp2_r1_screen	25580.0	5579.0	2000.0	1294.0	637.0	500.0	200.0	115.0	1.0	0.0	0.0	216414.0	1864458.0
Sgr-AJol_058-Ex110E-lwgs-1-1.clmp.fp2_r2_screen	25764.0	5512.0	1944.0	1276.0	651.0	494.0	192.0	116.0	2.0	0.0	0.0	215946.0	1864881.0
Sgr-AJol_059-Ex111E-lwgs-1-1.clmp.fp2_r1_screen	77681.0	13166.0	6049.0	3847.0	1877.0	1675.0	611.0	254.0	4.0	0.0	0.0	891820.0	4638873.0
Sgr-AJol_059-Ex111E-lwgs-1-1.clmp.fp2_r2_screen	78674.0	13144.0	6000.0	3847.0	1886.0	1644.0	572.0	238.0	4.0	0.0	0.0	888720.0	4641128.0
Sgr-AJol_060-Ex112E-lwgs-1-1.clmp.fp2_r1_screen	31085.0	10165.0	2478.0	1751.0	733.0	649.0	298.0	229.0	3.0	0.0	0.0	340560.0	2391066.0
