Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Viruses	Bird	Plant	Coral	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Adu-AGui_046-Ex1-10D-lcwgs-1-1.clmp.fp2_r2_screen	32593.0	3787.0	831.0	99.0	36.0	18.0	4.0	0.0	0.0	0.0	15955.0	193083.0
Adu-AGui_047-Ex1-11D-lcwgs-1-1.clmp.fp2_r1_screen	491.0	127.0	46.0	8.0	6.0	5.0	0.0	3.0	0.0	0.0	598.0	15210.0
Adu-AGui_047-Ex1-11D-lcwgs-1-1.clmp.fp2_r2_screen	519.0	132.0	43.0	7.0	3.0	6.0	1.0	1.0	0.0	0.0	575.0	15207.0
Adu-AGui_048-Ex1-12D-lcwgs-1-1.clmp.fp2_r1_screen	5283.0	746.0	78.0	42.0	8.0	6.0	0.0	1.0	0.0	0.0	3140.0	41590.0
Adu-AGui_048-Ex1-12D-lcwgs-1-1.clmp.fp2_r2_screen	5318.0	736.0	86.0	43.0	7.0	3.0	1.0	1.0	0.0	0.0	3109.0	41590.0
Adu-AGui_049-Ex1-1E-lcwgs-1-1.clmp.fp2_r1_screen	80661.0	13685.0	4510.0	919.0	102.0	369.0	82.0	102.0	0.0	0.0	115738.0	1582234.0
Adu-AGui_049-Ex1-1E-lcwgs-1-1.clmp.fp2_r2_screen	80773.0	13805.0	4448.0	922.0	97.0	380.0	83.0	86.0	0.0	0.0	115754.0	1582054.0
Adu-AHam_001-Ex1-a-10G-lcwgs-2-1.clmp.fp2_r1_screen	927.0	299.0	121.0	19.0	6.0	9.0	4.0	4.0	0.0	0.0	1178.0	42943.0
Adu-AHam_001-Ex1-a-10G-lcwgs-2-1.clmp.fp2_r2_screen	950.0	283.0	103.0	21.0	8.0	5.0	2.0	2.0	0.0	0.0	1157.0	42979.0
Adu-AHam_002-Ex1-b-10H-lcwgs-2-1.clmp.fp2_r1_screen	2208.0	605.0	45.0	38.0	44.0	15.0	2.0	2.0	0.0	0.0	2101.0	45086.0
Adu-AHam_002-Ex1-b-10H-lcwgs-2-1.clmp.fp2_r2_screen	2185.0	631.0	69.0	31.0	50.0	6.0	4.0	4.0	0.0	0.0	2050.0	45116.0
Adu-AHam_003-Ex1-a-11A-lcwgs-2-1.clmp.fp2_r1_screen	334.0	126.0	98.0	20.0	18.0	5.0	0.0	0.0	0.0	0.0	460.0	12837.0
Adu-AHam_003-Ex1-a-11A-lcwgs-2-1.clmp.fp2_r2_screen	330.0	141.0	96.0	19.0	13.0	7.0	2.0	0.0	0.0	0.0	474.0	12816.0
