Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Och-ACat_035-Ex1-11C-lcwgs-2-1.clmp.fp2_r2_screen	6443.0	432.0	417.0	334.0	172.0	48.0	29.0	23.0	2.0	0.0	40712.0	427508.0
Och-ACat_036-Ex1-12C-lcwgs-2-1.clmp.fp2_r1_screen	9780.0	1266.0	673.0	468.0	305.0	77.0	54.0	32.0	0.0	0.0	65663.0	677638.0
Och-ACat_036-Ex1-12C-lcwgs-2-1.clmp.fp2_r2_screen	9734.0	1248.0	612.0	496.0	274.0	84.0	52.0	29.0	1.0	0.0	65183.0	678243.0
Och-ACat_037-Ex1-1D-lcwgs-2-1.clmp.fp2_r1_screen	34157.0	17270.0	3723.0	2635.0	1584.0	591.0	488.0	131.0	8.0	0.0	206590.0	2551142.0
Och-ACat_037-Ex1-1D-lcwgs-2-1.clmp.fp2_r2_screen	34444.0	17114.0	3678.0	2572.0	1521.0	587.0	469.0	136.0	6.0	0.0	205523.0	2552269.0
Och-ACat_038-Ex1-2D-lcwgs-2-1.clmp.fp2_r1_screen	1570.0	147.0	151.0	99.0	80.0	22.0	11.0	7.0	0.0	0.0	8807.0	138531.0
Och-ACat_038-Ex1-2D-lcwgs-2-1.clmp.fp2_r2_screen	1530.0	149.0	138.0	116.0	66.0	21.0	11.0	5.0	4.0	0.0	8839.0	138546.0
Och-ACat_039-Ex1-3D-lcwgs-2-1.clmp.fp2_r1_screen	7574.0	467.0	590.0	438.0	245.0	80.0	31.0	28.0	1.0	0.0	47591.0	539028.0
Och-ACat_039-Ex1-3D-lcwgs-2-1.clmp.fp2_r2_screen	7543.0	443.0	544.0	443.0	233.0	66.0	47.0	26.0	2.0	0.0	47400.0	539326.0
Och-ACat_039-Ex1-8A-lcwgs-1-1.clmp.fp2_r1_screen	79.0	10.0	2.0	8.0	5.0	0.0	2.0	2.0	0.0	0.0	240.0	8529.0
Och-ACat_039-Ex1-8A-lcwgs-1-1.clmp.fp2_r2_screen	66.0	11.0	8.0	6.0	4.0	2.0	1.0	0.0	1.0	0.0	241.0	8537.0
Och-ACat_040-Ex1-4D-lcwgs-2-1.clmp.fp2_r1_screen	25050.0	4896.0	2713.0	1879.0	1232.0	368.0	278.0	91.0	4.0	0.0	129590.0	2298300.0
Och-ACat_040-Ex1-4D-lcwgs-2-1.clmp.fp2_r2_screen	25122.0	4813.0	2645.0	1915.0	1222.0	318.0	293.0	107.0	7.0	0.0	129166.0	2298793.0
Och-ACat_041-Ex1-5D-lcwgs-2-1.clmp.fp2_r1_screen	21354.0	5109.0	6855.0	1786.0	1174.0	363.0	314.0	77.0	3.0	0.0	105230.0	2327613.0
Och-ACat_041-Ex1-5D-lcwgs-2-1.clmp.fp2_r2_screen	21239.0	5088.0	6780.0	1742.0	1192.0	329.0	293.0	90.0	5.0	0.0	105013.0	2328107.0
Och-ATum_001-Ex1-6D-lcwgs-2-1.clmp.fp2_r1_screen	898.0	121.0	64.0	38.0	33.0	6.0	8.0	3.0	0.0	0.0	5674.0	75722.0
Och-ATum_001-Ex1-6D-lcwgs-2-1.clmp.fp2_r2_screen	914.0	132.0	77.0	44.0	37.0	7.0	3.0	7.0	0.0	0.0	5674.0	75672.0
Och-ATum_002-Ex1-7D-lcwgs-2-1.clmp.fp2_r1_screen	424.0	66.0	43.0	35.0	24.0	3.0	5.0	1.0	1.0	0.0	1885.0	46757.0
Och-ATum_002-Ex1-7D-lcwgs-2-1.clmp.fp2_r2_screen	392.0	63.0	54.0	33.0	22.0	5.0	7.0	2.0	0.0	0.0	1835.0	46831.0
Och-ATum_003-Ex1-8D-lcwgs-2-1.clmp.fp2_r1_screen	376.0	62.0	32.0	32.0	22.0	5.0	4.0	2.0	0.0	0.0	1839.0	41911.0
Och-ATum_003-Ex1-8D-lcwgs-2-1.clmp.fp2_r2_screen	395.0	60.0	44.0	26.0	18.0	7.0	2.0	6.0	0.0	0.0	1790.0	41937.0
Och-ATum_004-Ex1-9D-lcwgs-2-1.clmp.fp2_r1_screen	349.0	28.0	34.0	17.0	13.0	3.0	3.0	1.0	1.0	0.0	1576.0	27356.0
Och-ATum_004-Ex1-9D-lcwgs-2-1.clmp.fp2_r2_screen	328.0	31.0	22.0	19.0	10.0	5.0	1.0	1.0	0.0	0.0	1605.0	27359.0
Och-ATum_005-Ex1-10D-lcwgs-2-1.clmp.fp2_r1_screen	15144.0	1147.0	1353.0	1127.0	713.0	199.0	151.0	42.0	3.0	0.0	46451.0	1726355.0
Och-ATum_005-Ex1-10D-lcwgs-2-1.clmp.fp2_r2_screen	15234.0	1169.0	1317.0	1047.0	721.0	181.0	142.0	53.0	1.0	0.0	46106.0	1726714.0
Och-ATum_006-Ex1-11D-lcwgs-2-1.clmp.fp2_r1_screen	299.0	36.0	25.0	13.0	8.0	1.0	0.0	2.0	0.0	0.0	1817.0	24477.0
Och-ATum_006-Ex1-11D-lcwgs-2-1.clmp.fp2_r2_screen	304.0	27.0	30.0	18.0	13.0	4.0	4.0	0.0	0.0	0.0	1831.0	24447.0
Och-ATum_007-Ex1-12D-lcwgs-2-1.clmp.fp2_r1_screen	5163.0	660.0	330.0	286.0	175.0	42.0	28.0	36.0	0.0	0.0	28786.0	411663.0
Och-ATum_007-Ex1-12D-lcwgs-2-1.clmp.fp2_r2_screen	5295.0	669.0	347.0	311.0	175.0	45.0	26.0	30.0	2.0	0.0	28606.0	411663.0
Och-ATum_008-Ex1-1E-lcwgs-2-1.clmp.fp2_r1_screen	1401.0	527.0	138.0	91.0	57.0	26.0	18.0	4.0	0.0	0.0	7785.0	136410.0
Och-ATum_008-Ex1-1E-lcwgs-2-1.clmp.fp2_r2_screen	1527.0	493.0	135.0	92.0	60.0	25.0	15.0	12.0	3.0	0.0	7729.0	136366.0
Och-ATum_009-Ex1-2E-lcwgs-2-1.clmp.fp2_r1_screen	46435.0	7512.0	4007.0	3105.0	1860.0	597.0	512.0	194.0	14.0	0.0	271714.0	3181851.0
Och-ATum_009-Ex1-2E-lcwgs-2-1.clmp.fp2_r2_screen	46556.0	7374.0	4194.0	3034.0	1820.0	608.0	471.0	174.0	13.0	0.0	271003.0	3182554.0
Och-ATum_010-Ex1-3E-lcwgs-2-1.clmp.fp2_r1_screen	5914.0	546.0	397.0	345.0	221.0	59.0	29.0	23.0	0.0	0.0	34679.0	459723.0
Och-ATum_010-Ex1-3E-lcwgs-2-1.clmp.fp2_r2_screen	6033.0	551.0	397.0	345.0	212.0	60.0	22.0	26.0	5.0	0.0	34362.0	459923.0
Och-ATum_011-Ex1-4E-lcwgs-2-1.clmp.fp2_r1_screen	3455.0	251.0	311.0	212.0	143.0	25.0	31.0	7.0	0.0	0.0	18728.0	298543.0
Och-ATum_011-Ex1-4E-lcwgs-2-1.clmp.fp2_r2_screen	3425.0	252.0	281.0	179.0	121.0	33.0	24.0	9.0	1.0	0.0	18645.0	298736.0
Och-ATum_012-Ex1-5E-lcwgs-2-1.clmp.fp2_r1_screen	13240.0	2692.0	1768.0	821.0	502.0	142.0	90.0	40.0	1.0	0.0	65620.0	1314026.0
Och-ATum_012-Ex1-5E-lcwgs-2-1.clmp.fp2_r2_screen	13112.0	2681.0	1709.0	847.0	525.0	131.0	88.0	51.0	2.0	0.0	65351.0	1314445.0
Och-ATum_013-Ex1-6E-lcwgs-2-1.clmp.fp2_r1_screen	13773.0	1497.0	1338.0	908.0	587.0	166.0	131.0	50.0	2.0	0.0	49578.0	1499471.0
Och-ATum_013-Ex1-6E-lcwgs-2-1.clmp.fp2_r2_screen	13801.0	1471.0	1304.0	950.0	603.0	158.0	133.0	43.0	0.0	0.0	49254.0	1499784.0
Och-ATum_014-Ex1-7E-lcwgs-2-1.clmp.fp2_r1_screen	618.0	71.0	63.0	50.0	37.0	15.0	6.0	2.0	0.0	0.0	2676.0	66517.0
Och-ATum_014-Ex1-7E-lcwgs-2-1.clmp.fp2_r2_screen	634.0	69.0	64.0	62.0	37.0	6.0	5.0	4.0	0.0	0.0	2629.0	66545.0
Och-ATum_015-Ex1-8E-lcwgs-2-1.clmp.fp2_r1_screen	456.0	53.0	45.0	33.0	20.0	10.0	9.0	1.0	0.0	0.0	2016.0	50416.0
Och-ATum_015-Ex1-8E-lcwgs-2-1.clmp.fp2_r2_screen	427.0	68.0	38.0	34.0	24.0	7.0	5.0	3.0	1.0	0.0	2052.0	50400.0
Och-ATum_016-Ex1-9E-lcwgs-2-1.clmp.fp2_r1_screen	28140.0	2131.0	3185.0	2389.0	1414.0	497.0	376.0	95.0	5.0	0.0	86299.0	2381116.0
Och-ATum_016-Ex1-9E-lcwgs-2-1.clmp.fp2_r2_screen	28503.0	2059.0	3121.0	2325.0	1501.0	452.0	382.0	104.0	7.0	0.0	87079.0	2380114.0
Och-ATum_017-Ex1-10E-lcwgs-2-1.clmp.fp2_r1_screen	24531.0	4572.0	2113.0	1582.0	992.0	321.0	278.0	81.0	5.0	0.0	137351.0	1854417.0
Och-ATum_017-Ex1-10E-lcwgs-2-1.clmp.fp2_r2_screen	24648.0	4579.0	2160.0	1679.0	954.0	306.0	261.0	94.0	1.0	0.0	136131.0	1855430.0
Och-ATum_018-Ex1-11E-lcwgs-2-1.clmp.fp2_r1_screen	395.0	36.0	38.0	30.0	14.0	1.0	5.0	3.0	1.0	0.0	2587.0	30876.0
Och-ATum_018-Ex1-11E-lcwgs-2-1.clmp.fp2_r2_screen	395.0	29.0	33.0	22.0	23.0	8.0	5.0	0.0	1.0	0.0	2570.0	30900.0
Och-ATum_019-Ex1-12E-lcwgs-2-1.clmp.fp2_r1_screen	25139.0	5452.0	2741.0	1885.0	1182.0	354.0	293.0	82.0	4.0	0.0	120267.0	2542398.0
