Sample	Unique Reads	Duplicate Reads
Sfa-CBas_061-Ex1-2D-lcwgs-1-3.1	15823.0	464.0
Sfa-CBas_061-Ex1-2D-lcwgs-1-3.2	15865.0	422.0
Sfa-CBas_062-Ex1-2B-lcwgs-2-3.1	5399300.0	1090163.0
Sfa-CBas_062-Ex1-2B-lcwgs-2-3.2	5523626.0	965837.0
Sfa-CBas_066-Ex1-2C-lcwgs-1-3.1	17033.0	482.0
Sfa-CBas_066-Ex1-2C-lcwgs-1-3.2	17074.0	441.0
Sfa-CBas_067-Ex1-3B-lcwgs-1-3.1	3211.0	73.0
Sfa-CBas_067-Ex1-3B-lcwgs-1-3.2	3218.0	66.0
Sfa-CBas_073-Ex1-9B-lcwgs-2-3.1	2844.0	72.0
Sfa-CBas_073-Ex1-9B-lcwgs-2-3.2	2852.0	64.0
Sfa-CBas_074-Ex1-2A-lcwgs-1-3.1	6632.0	219.0
Sfa-CBas_074-Ex1-2A-lcwgs-1-3.2	6639.0	212.0
Sfa-CBas_076-Ex1-8A-lcwgs-2-3.1	5659694.0	962229.0
Sfa-CBas_076-Ex1-8A-lcwgs-2-3.2	5781685.0	840238.0
Sfa-CBas_078-Ex1-7A-lcwgs-2-3.1	7791372.0	1424123.0
Sfa-CBas_078-Ex1-7A-lcwgs-2-3.2	7969784.0	1245711.0
Sfa-CBas_084-Ex1-9A-lcwgs-2-3.1	4705066.0	1125059.0
Sfa-CBas_084-Ex1-9A-lcwgs-2-3.2	4846711.0	983414.0
Sfa-CBas_086-Ex1-4D-lcwgs-1-3.1	12356.0	454.0
Sfa-CBas_086-Ex1-4D-lcwgs-1-3.2	12388.0	422.0
Sfa-CBas_088-Ex1-2B-lcwgs-1-3.1	5799.0	134.0
Sfa-CBas_088-Ex1-2B-lcwgs-1-3.2	5803.0	130.0
Sfa-CBas_090-Ex1-12B-lcwgs-2-3.1	6419528.0	1185428.0
Sfa-CBas_090-Ex1-12B-lcwgs-2-3.2	6578361.0	1026595.0
Sfa-CBas_091-Ex1-5B-lcwgs-1-3.1	24278.0	699.0
Sfa-CBas_091-Ex1-5B-lcwgs-1-3.2	24343.0	634.0
Sfa-CBas_092-Ex1-1E-lcwgs-1-3.1	16228.0	782.0
Sfa-CBas_092-Ex1-1E-lcwgs-1-3.2	16282.0	728.0
Sfa-CBas_096-Ex1-1H-lcwgs-1-3.1	12219.0	368.0
Sfa-CBas_096-Ex1-1H-lcwgs-1-3.2	12268.0	319.0
