Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	Snippy_mqc-generalstats-snippy-VariantTotal
Adu-AHam_071-Ex1-3G-lcwgs-1-1	2.8988400000000003	0.960488	445646735.0	0.433909	96.77665642262755	54.214465053711706	
Adu-AHam_072-Ex1-3H-lcwgs-1-1	2.68142	0.959172	703406717.0	0.466923	95.18106356972876	68.25548212390117	
Adu-AHam_073-Ex1-4A-lcwgs-1-1	3.02482	0.956583	704627836.0	0.448077	90.48703318776884	64.37640981604812	
Adu-AHam_074-Ex1-4B-lcwgs-1-1	2.0732500000000003	0.958481	555332327.0	0.427895	41.94274214410018	59.89656882063138	
Adu-AHam_075-Ex1-4C-lcwgs-1-1	0.760524	0.960334	39969808.0	0.45192	85.89604743981036	81.44174915367196	
Adu-AHam_076-Ex1-4D-lcwgs-1-1	2.39266	0.962059	911297235.0	0.434205	94.33625396087095	69.73886450187506	
Adu-AHam_077-Ex1-4E-lcwgs-1-1	1.87581	0.960182	741062634.0	0.430245	94.797447385062	74.36161812339428	
Adu-AHam_078-Ex1-4F-lcwgs-1-1	1.7957999999999998	0.963545	820203208.0	0.435186	97.4864743039995	77.1328885679305	
Adu-AHam_079-Ex1-4G-lcwgs-1-1	2.06271	0.960328	872952498.0	0.427692	97.12298305720655	69.55210286913402	
Adu-AHam_080-Ex1-4H-lcwgs-1-1	2.3999900000000003	0.962028	565309445.0	0.444957	93.88950770499136	70.61383024753619	
Adu-AHam_081-Ex1-5A-lcwgs-1-1	4.11187	0.960803	642509342.0	0.452297	97.17422819984202	64.41998363822789	
Adu-AHam_082-Ex1-5B-lcwgs-1-1	1.90992	0.964465	869685348.0	0.435373	94.30462236040704	76.68713031212	
Adu-AHam_083-Ex1-5C-lcwgs-1-1	2.10451	0.964213	937393753.0	0.433964	97.07569342950706	75.68963539467532	
Adu-AHam_084-Ex1-5D-lcwgs-1-1	1.57299	0.963764	787671424.0	0.384597	98.02619848391618	78.00383602569568	
Adu-AHam_085-Ex1-5E-lcwgs-1-1	1.5641599999999998	0.963229	929211659.0	0.42151	93.83650395823899	76.25589930848814	
Adu-AHam_086-Ex1-5F-lcwgs-1-1	1.66432	0.962819	888598534.0	0.417109	97.65959549651998	73.32624033246209	
Adu-AHam_087-Ex1-5G-lcwgs-1-1	1.82183	0.965325	817727800.0	0.436048	97.34679915688046	79.25656127672389	
Adu-AHam_088-Ex1-5H-lcwgs-1-1	1.7953199999999998	0.964627	897712432.0	0.435792	98.00885123207102	78.94571051395471	
Adu-AHam_089-Ex1-6A-lcwgs-1-1	2.90281	0.962449	853978028.0	0.40367	96.40876442112551	64.46582120299922	
Adu-AHam_090-Ex1-6B-lcwgs-1-1	3.37143	0.963973	867051534.0	0.39564	97.65339263963347	61.330744937494245	
Adu-AHam_091-Ex1-6C-lcwgs-1-1	0.747457	0.962192	22850638.0	0.424366	86.44206431501864	83.5502714678586	
Adu-AHam_092-Ex1-6D-lcwgs-1-1	0.946197	0.962111	21780285.0	0.418082	87.02790886558093	81.92470347705536	
Adu-AHam_093-Ex1-6E-lcwgs-1-1	0.743788	0.963322	24080375.0	0.412507	87.70934936297304	82.9395233954608	
Adu-AHam_094-Ex1-6F-lcwgs-1-1	1.8831	0.96599	886329722.0	0.404914	97.58543792567444	76.31513481222696	
Adu-AHam_095-Ex1-6G-lcwgs-1-1	1.8642800000000002	0.965648	870026515.0	0.384564	96.82493173299638	79.48586028384078	
Adu-AHam_096-Ex1-6H-lcwgs-1-1	0.8915599999999999	0.961246	11178959.0	0.410813	84.99016709427868	83.1720563145488	
Adu-AMat_001-Ex1-1H-lcwgs-1-1	1.03355	0.960867	7139791.0	0.463659	81.83320740460898	66.89176426142804	
Adu-AMat_002-Ex1-1G-lcwgs-2-1	1.70833	0.964554	10536438.0	0.428615	76.48720089037285	76.75500834724541	
Adu-AMat_003-Ex1-1F-lcwgs-2-1	0.840729	0.962865	5704486.0	0.414263	88.66297887365386	78.3763902783499	
Adu-AMat_004-Ex1-8E-lcwgs-3-1	3.11288	0.964456	337017682.0	0.412278	94.86184534652553	76.67258511460457	
Adu-AMat_005-Ex2-2E-lcwgs-3-1	2.98832	0.9665	1293541481.0	0.417554	96.74694094069297	84.73243223658865	
Adu-AMat_006-Ex?-9F-lcwgs-2-1	1.05749	0.958357	12865426.0	0.429675	87.9395218002813	72.15663204587256	
Adu-AMat_007-Ex2-2F-lcwgs-1-1	1.9475699999999998	0.96727	439690643.0	0.412093	96.6624868093043	88.33465537155212	
Adu-AMat_008-Ex?-9H-lcwgs-2-1	0.9838070000000001	0.955439	20713468.0	0.454093	82.76160688762212	65.54759622660545	
Adu-AMat_009-Ex?-10A-lcwgs-3-1	0.867212	0.961229	3572083.0	0.440903	87.49472301702707	75.60861203621184	
Adu-AMat_010-Ex?-10C-lcwgs-1and2-1	2.4528399999999997	0.963398	11931031.0	0.432778	62.430718188914916	70.91676424668229	
Adu-AMat_011-Ex?-10D-lcwgs-2-1	0.47380800000000006	0.963689	6979892.0	0.419452	91.40388664359527	79.20185861910409	
Adu-AMat_012-Ex?-10E-lcwgs-1and3-1	1.52748	0.961975	9662497.0	0.424389	78.4455829064101	73.71766837435962	
Adu-AMat_013-Ex2-2G-lcwgs-1-1	2.85256	0.962686	140963719.0	0.415257	94.91055603060178	74.2910170960015	
Adu-AMat_015-Ex2-8G-lcwgs-1-1	4.29218	0.957459	163752973.0	0.471605	94.74266390435739	50.99145164600088	
Adu-AMat_016-Ex2-2H-lcwgs-1-1	1.34888	0.966927	176880092.0	0.398381	97.56744001363629	89.11860712811311	
Adu-AMat_017-Ex2-3A-lcwgs-1-1	2.6649599999999998	0.966987	286278794.0	0.391668	98.17291575897195	88.2063772862964	
Adu-AMat_018-Ex2-3B-lcwgs-1-1	2.05926	0.9657	48144016.0	0.432538	96.20623903592403	85.95187247349554	
Adu-AMat_019-Ex2-3C-lcwgs-1-1	2.35201	0.967226	803470011.0	0.372034	97.6081360533771	86.9052866620312	
Adu-AMat_020-Ex2-3D-lcwgs-1-1	1.58258	0.966924	55286060.0	0.423352	96.75082242395592	89.72991050612437	
Adu-AMat_021-Ex2-3E-lcwgs-1-1	2.2943100000000003	0.964065	248636577.0	0.411618	91.66634408666187	79.52277017812371	
Adu-AMat_026-Ex3-3F-lcwgs-3-1	2.52477	0.963036	140902369.0	0.412464	96.71540824594436	75.20474960798829	
Adu-AMat_029-Ex1-4E-lcwgs-2-1	2.20152	0.960146	15745817.0	0.441687	47.07909219305508	60.607010665757564	
Adu-AMat_030-Ex1-4F-lcwgs-1-1	0.578468	0.960972	11260073.0	0.417347	93.13196351355617	77.52816968090143	
Adu-AMat_031-Ex1-4G-lcwgs-2-1	0.582122	0.960783	9265094.0	0.414941	90.90282178402356	77.21418719946323	
Adu-AMat_032-Ex3-9A-lcwgs-3-1	2.10964	0.961751	37029708.0	0.421693	95.94383514264356	75.4660879849156	
Adu-AMat_033-Ex1-5A-lcwgs-2-1	0.650255	0.963229	2123273.0	0.440214	91.31461337380891	76.99215785479383	
Adu-AMat_034-Ex1-5B-lcwgs-1-1	0.451908	0.965137	3138326.0	0.42591	93.01020680810132	83.30037941537968	
Adu-AMat_035-Ex1-5C-lcwgs-2-1	0.451584	0.962267	5192576.0	0.429263	90.96759289815853	78.49316876773811	
Adu-AMat_036-Ex3-3H-lcwgs-3-1	5.01174	0.962754	633699321.0	0.415846	95.1067261535617	79.3033661015908	
Adu-AMat_037-Ex3-9B-lcwgs-3-1	4.380599999999999	0.96336	298737353.0	0.419521	95.64445485356786	77.08328285805814	
Adu-AMat_038-Ex1-5F-lcwgs-2-1	1.9246699999999999	0.964162	5963639.0	0.419686	53.797564816853225	67.75075781951195	
Adu-AMat_039-Ex1-5G-lcwgs-1-1	0.346613	0.963962	4193467.0	0.413174	92.57924780373264	83.03509979353063	
Adu-AMat_040-Ex1-5H-lcwgs-2-1	0.535759	0.959068	6418058.0	0.464377	90.33479859555999	74.0330651626994	
Adu-AMat_041-Ex1-6A-lcwgs-1-1	0.338787	0.962849	2413249.0	0.437689	96.34530560806553	77.98913043478261	
Adu-AMat_042-Ex1-6B-lcwgs-2-1	0.44591300000000006	0.964048	3768722.0	0.424946	95.33649556192177	82.90048372704645	
Adu-AMat_043-Ex3-9C-lcwgs-3-1	2.68684	0.964476	226735597.0	0.416413	93.42822336055346	80.87742594233454	
