Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Viruses	Coral	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Cvi-CPal_053-Ex1-6E-lcwgs-1-2.clmp.fp2_r1_screen	6367.0	106812.0	13471.0	9233.0	7155.0	1773.0	542.0	1378.0	6.0	0.0	0.0	362200.0	14774438.0
Cvi-CPal_053-Ex1-6E-lcwgs-1-2.clmp.fp2_r2_screen	6307.0	108029.0	13229.0	9201.0	7110.0	1827.0	554.0	1381.0	12.0	0.0	0.0	365872.0	14769853.0
Cvi-CPal_054-Ex1-6F-lcwgs-1-2.clmp.fp2_r1_screen	3926.0	68737.0	8812.0	5840.0	4617.0	1167.0	344.0	834.0	6.0	0.0	0.0	218080.0	10169598.0
Cvi-CPal_054-Ex1-6F-lcwgs-1-2.clmp.fp2_r2_screen	3956.0	69817.0	9052.0	5939.0	4593.0	1155.0	342.0	821.0	4.0	0.0	0.0	219829.0	10166453.0
Cvi-CPal_055-Ex1-6G-lcwgs-1-2.clmp.fp2_r1_screen	1386.0	31882.0	3772.0	2586.0	1901.0	474.0	125.0	418.0	2.0	0.0	0.0	94690.0	4098416.0
Cvi-CPal_055-Ex1-6G-lcwgs-1-2.clmp.fp2_r2_screen	1452.0	31893.0	3720.0	2616.0	1919.0	466.0	132.0	404.0	2.0	0.0	0.0	95902.0	4097146.0
Cvi-CPal_056-Ex1-6H-lcwgs-1-2.clmp.fp2_r1_screen	2140.0	37158.0	4821.0	3410.0	2625.0	609.0	177.0	475.0	5.0	0.0	0.0	121270.0	5545493.0
Cvi-CPal_056-Ex1-6H-lcwgs-1-2.clmp.fp2_r2_screen	2206.0	37446.0	4626.0	3350.0	2530.0	623.0	206.0	526.0	4.0	0.0	0.0	122888.0	5543778.0
Cvi-CPal_057-Ex1-7A-lcwgs-1-2.clmp.fp2_r1_screen	3456.0	76271.0	11122.0	6849.0	5754.0	1342.0	399.0	1247.0	12.0	0.0	0.0	246322.0	13646171.0
Cvi-CPal_057-Ex1-7A-lcwgs-1-2.clmp.fp2_r2_screen	3375.0	76921.0	10819.0	6883.0	5699.0	1403.0	343.0	1190.0	11.0	0.0	0.0	247530.0	13644771.0
Cvi-CPal_058-Ex1-7B-lcwgs-1-2.clmp.fp2_r1_screen	7030.0	129643.0	18459.0	11048.0	9969.0	2453.0	614.0	2012.0	17.0	0.0	0.0	430791.0	21889260.0
Cvi-CPal_058-Ex1-7B-lcwgs-1-2.clmp.fp2_r2_screen	6834.0	131467.0	18102.0	10906.0	9758.0	2351.0	597.0	1963.0	11.0	0.0	0.0	427797.0	21891510.0
Cvi-CPal_059-Ex1-7C-lcwgs-1-2.clmp.fp2_r1_screen	9060.0	145544.0	20831.0	12482.0	11498.0	2720.0	736.0	2217.0	19.0	0.0	0.0	476640.0	24474932.0
Cvi-CPal_059-Ex1-7C-lcwgs-1-2.clmp.fp2_r2_screen	9016.0	145737.0	20701.0	12422.0	10978.0	2614.0	725.0	2100.0	22.0	0.0	0.0	479947.0	24472417.0
Cvi-CPal_060-Ex1-7D-lcwgs-1-2.clmp.fp2_r1_screen	268.0	3772.0	509.0	307.0	286.0	73.0	28.0	44.0	0.0	0.0	0.0	13590.0	648133.0
Cvi-CPal_060-Ex1-7D-lcwgs-1-2.clmp.fp2_r2_screen	259.0	4002.0	520.0	343.0	313.0	72.0	20.0	49.0	0.0	0.0	0.0	13432.0	648000.0
Cvi-CPal_061-Ex1-7E-lcwgs-1-2.clmp.fp2_r1_screen	14219.0	269385.0	36080.0	23269.0	19423.0	4595.0	1324.0	3786.0	38.0	0.0	0.0	927688.0	40629446.0
Cvi-CPal_061-Ex1-7E-lcwgs-1-2.clmp.fp2_r2_screen	13984.0	270722.0	36075.0	22957.0	19165.0	4462.0	1323.0	3668.0	39.0	0.0	0.0	927412.0	40629446.0
Cvi-CPal_062-Ex1-7F-lcwgs-1-2.clmp.fp2_r1_screen	5474.0	94092.0	12726.0	8706.0	6774.0	1663.0	493.0	1428.0	11.0	0.0	0.0	309809.0	14771774.0
Cvi-CPal_062-Ex1-7F-lcwgs-1-2.clmp.fp2_r2_screen	5448.0	94685.0	12627.0	8380.0	6583.0	1669.0	471.0	1373.0	8.0	0.0	0.0	309932.0	14771774.0
Cvi-CPal_063-Ex1-7G-lcwgs-1-2.clmp.fp2_r1_screen	11171.0	210243.0	28589.0	18284.0	15515.0	3661.0	1074.0	3041.0	21.0	0.0	0.0	705278.0	32455349.0
Cvi-CPal_063-Ex1-7G-lcwgs-1-2.clmp.fp2_r2_screen	11087.0	210979.0	28350.0	18281.0	15346.0	3638.0	1048.0	2938.0	29.0	0.0	0.0	708526.0	32452004.0
Cvi-CPal_064-Ex1-7H-lcwgs-1-2.clmp.fp2_r1_screen	7573.0	123479.0	16885.0	9613.0	8955.0	2064.0	519.0	1740.0	18.0	0.0	0.0	391564.0	19102251.0
Cvi-CPal_064-Ex1-7H-lcwgs-1-2.clmp.fp2_r2_screen	7611.0	124404.0	16734.0	9759.0	8706.0	2012.0	494.0	1718.0	11.0	0.0	0.0	392927.0	19100285.0
Cvi-CPal_065-Ex1-8A-lcwgs-1-2.clmp.fp2_r1_screen	6697.0	111118.0	14705.0	10289.0	7858.0	1836.0	556.0	1413.0	32.0	0.0	0.0	378386.0	17531177.0
Cvi-CPal_065-Ex1-8A-lcwgs-1-2.clmp.fp2_r2_screen	6544.0	111769.0	14583.0	10281.0	7739.0	1819.0	543.0	1475.0	14.0	0.0	0.0	378123.0	17531177.0
Cvi-CPal_066-Ex1-8B-lcwgs-1-2.clmp.fp2_r1_screen	2198.0	32023.0	4397.0	2689.0	2361.0	536.0	146.0	457.0	11.0	0.0	0.0	104455.0	5259168.0
Cvi-CPal_066-Ex1-8B-lcwgs-1-2.clmp.fp2_r2_screen	2140.0	32271.0	4241.0	2686.0	2282.0	565.0	148.0	486.0	2.0	0.0	0.0	103912.0	5259708.0
Cvi-CPal_067-Ex1-8C-lcwgs-1-2.clmp.fp2_r1_screen	1288.0	23029.0	2937.0	1899.0	1492.0	375.0	95.0	271.0	6.0	0.0	0.0	70516.0	3228403.0
Cvi-CPal_067-Ex1-8C-lcwgs-1-2.clmp.fp2_r2_screen	1263.0	23311.0	2753.0	1859.0	1539.0	338.0	90.0	276.0	4.0	0.0	0.0	70475.0	3228403.0
Cvi-CPal_069-Ex1-8E-lcwgs-1-2.clmp.fp2_r1_screen	13996.0	182501.0	24245.0	15934.0	13339.0	3094.0	973.0	2486.0	49.0	0.0	0.0	649179.0	27578345.0
Cvi-CPal_069-Ex1-8E-lcwgs-1-2.clmp.fp2_r2_screen	14038.0	184108.0	23542.0	15726.0	13190.0	3140.0	998.0	2405.0	20.0	0.0	0.0	648629.0	27578345.0
Cvi-CPal_070-Ex1-8F-lcwgs-1-2.clmp.fp2_r1_screen	1558.0	26918.0	3519.0	2284.0	1822.0	445.0	121.0	376.0	7.0	0.0	0.0	84538.0	3787965.0
Cvi-CPal_070-Ex1-8F-lcwgs-1-2.clmp.fp2_r2_screen	1471.0	27126.0	3422.0	2228.0	1684.0	446.0	113.0	340.0	3.0	0.0	0.0	84755.0	3787965.0
Cvi-CPal_072-Ex1-1A-lcwgs-1-2.clmp.fp2_r1_screen	23695.0	100450.0	17678.0	8942.0	7392.0	1847.0	442.0	1616.0	21.0	0.0	0.0	314437.0	17370639.0
Cvi-CPal_072-Ex1-1A-lcwgs-1-2.clmp.fp2_r2_screen	23806.0	101683.0	17540.0	8721.0	7230.0	1789.0	446.0	1601.0	19.0	0.0	0.0	315469.0	17368855.0
Cvi-CPal_079-Ex1-8H-lcwgs-1-2.clmp.fp2_r1_screen	4528.0	88800.0	11214.0	7023.0	5978.0	1483.0	349.0	1281.0	20.0	0.0	0.0	271309.0	13078257.0
Cvi-CPal_079-Ex1-8H-lcwgs-1-2.clmp.fp2_r2_screen	4586.0	89349.0	11054.0	6980.0	5941.0	1564.0	322.0	1198.0	7.0	0.0	0.0	272331.0	13076910.0
Cvi-CPal_087-Ex1-1B-lcwgs-1-2.clmp.fp2_r1_screen	19314.0	81912.0	13958.0	7107.0	5839.0	1473.0	377.0	1236.0	12.0	0.0	0.0	252302.0	13512465.0
Cvi-CPal_087-Ex1-1B-lcwgs-1-2.clmp.fp2_r2_screen	19238.0	82264.0	13863.0	7176.0	5711.0	1422.0	366.0	1247.0	6.0	0.0	0.0	253627.0	13511075.0
Cvi-CPal_093-Ex1-1C-lcwgs-1-2.clmp.fp2_r1_screen	28122.0	223241.0	31649.0	18206.0	16538.0	3673.0	1238.0	3016.0	34.0	0.0	0.0	800148.0	35909153.0
Cvi-CPal_093-Ex1-1C-lcwgs-1-2.clmp.fp2_r2_screen	27934.0	226010.0	32083.0	18156.0	16176.0	3700.0	1281.0	3109.0	21.0	0.0	0.0	801099.0	35905449.0
