Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Viruses	Plant	Coral	Vectors	Ecoli	Multiple Genomes	No hits
Par-CPas_066-Ex1-8G-lcwgs-1-T.clmp.fp2_r2_screen	2893.0	5891.0	1886.0	332.0	185.0	51.0	43.0	23.0	2.0	0.0	13248.0	372109.0
Par-CPas_067-Ex1-7E7F-lcwgs-1and2-T.clmp.fp2_r1_screen	32687.0	299748.0	19735.0	16272.0	7393.0	2286.0	1684.0	1420.0	20.0	0.0	540177.0	16301406.0
Par-CPas_067-Ex1-7E7F-lcwgs-1and2-T.clmp.fp2_r2_screen	32596.0	298292.0	19618.0	16632.0	7376.0	2211.0	1646.0	1420.0	41.0	0.0	543312.0	16299684.0
Par-CPas_068-Ex1-4H-lcwgs-1-T.clmp.fp2_r1_screen	16093.0	123027.0	11211.0	7857.0	4973.0	1335.0	868.0	860.0	13.0	0.0	219015.0	10345995.0
Par-CPas_068-Ex1-4H-lcwgs-1-T.clmp.fp2_r2_screen	15793.0	122830.0	11080.0	7940.0	4750.0	1258.0	858.0	784.0	10.0	0.0	221022.0	10344922.0
Par-CPas_069-Ex1-5B-lcwgs-1-T.clmp.fp2_r1_screen	701.0	2642.0	448.0	189.0	134.0	25.0	21.0	26.0	0.0	0.0	6238.0	214695.0
Par-CPas_069-Ex1-5B-lcwgs-1-T.clmp.fp2_r2_screen	686.0	2557.0	413.0	180.0	121.0	14.0	22.0	25.0	1.0	0.0	6292.0	214808.0
Par-CPas_070-Ex1-4C2D-lcwgs-1and2-T.clmp.fp2_r1_screen	1177.0	4535.0	452.0	336.0	153.0	43.0	34.0	35.0	0.0	0.0	8854.0	334575.0
Par-CPas_070-Ex1-4C2D-lcwgs-1and2-T.clmp.fp2_r2_screen	1226.0	4464.0	461.0	312.0	146.0	50.0	33.0	36.0	1.0	0.0	8855.0	334610.0
Par-CPas_071-Ex1-6B-lcwgs-1-T.clmp.fp2_r1_screen	178.0	543.0	91.0	57.0	33.0	2.0	3.0	5.0	0.0	0.0	1839.0	51295.0
Par-CPas_071-Ex1-6B-lcwgs-1-T.clmp.fp2_r2_screen	165.0	559.0	104.0	53.0	29.0	3.0	8.0	5.0	2.0	0.0	1840.0	51278.0
Par-CPas_072-Ex1-6D6E-lcwgs-1and2-T.clmp.fp2_r1_screen	897.0	2242.0	417.0	146.0	75.0	24.0	11.0	11.0	0.0	0.0	4609.0	154341.0
Par-CPas_072-Ex1-6D6E-lcwgs-1and2-T.clmp.fp2_r2_screen	942.0	2226.0	426.0	141.0	72.0	21.0	9.0	11.0	0.0	0.0	4454.0	154471.0
