Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Dar-CJol_023-Ex1-8B-lcwgs-1-1.clmp.fp2_r2_screen	462.0	6543.0	808.0	565.0	478.0	76.0	36.0	29.0	2.0	0.0	0.0	24737.0	785095.0
Dar-CJol_024-Ex1-7E-lcwgs-1-1.clmp.fp2_r1_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	31.0
Dar-CJol_024-Ex1-7E-lcwgs-1-1.clmp.fp2_r2_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	30.0
Dar-CJol_025-Ex1-3C-lcwgs-1-1.clmp.fp2_r1_screen	3679.0	13182.0	2057.0	1311.0	1154.0	161.0	61.0	60.0	3.0	0.0	0.0	53091.0	1856975.0
Dar-CJol_025-Ex1-3C-lcwgs-1-1.clmp.fp2_r2_screen	3642.0	13298.0	2057.0	1234.0	1164.0	178.0	95.0	61.0	1.0	0.0	0.0	51870.0	1858134.0
Dar-CJol_026-Ex1-8A-lcwgs-1-1.clmp.fp2_r1_screen	505.0	8347.0	1038.0	786.0	668.0	112.0	45.0	36.0	0.0	0.0	0.0	33623.0	907581.0
Dar-CJol_026-Ex1-8A-lcwgs-1-1.clmp.fp2_r2_screen	497.0	8420.0	1030.0	811.0	581.0	113.0	49.0	33.0	1.0	0.0	0.0	33149.0	908057.0
Dar-CJol_028-Ex1-2F-lcwgs-1-1.clmp.fp2_r1_screen	11940.0	30436.0	4511.0	2672.0	2615.0	392.0	207.0	146.0	2.0	0.0	0.0	122266.0	4150410.0
Dar-CJol_028-Ex1-2F-lcwgs-1-1.clmp.fp2_r2_screen	11941.0	30398.0	4352.0	2878.0	2480.0	383.0	211.0	128.0	4.0	0.0	0.0	121114.0	4151708.0
Dar-CJol_029-Ex1-5B-lcwgs-1-1.clmp.fp2_r1_screen	7983.0	15939.0	2360.0	1413.0	1408.0	220.0	114.0	83.0	2.0	0.0	0.0	69091.0	2194691.0
Dar-CJol_029-Ex1-5B-lcwgs-1-1.clmp.fp2_r2_screen	8132.0	15815.0	2251.0	1409.0	1252.0	235.0	103.0	94.0	0.0	0.0	0.0	68175.0	2195838.0
Dar-CJol_030-Ex1-8D-lcwgs-1-1.clmp.fp2_r1_screen	1382.0	13191.0	1733.0	1305.0	1092.0	178.0	73.0	89.0	1.0	0.0	0.0	55177.0	1404267.0
Dar-CJol_030-Ex1-8D-lcwgs-1-1.clmp.fp2_r2_screen	1361.0	13231.0	1710.0	1230.0	1046.0	144.0	84.0	73.0	0.0	0.0	0.0	54307.0	1405302.0
Dar-CJol_031-Ex1-4H-lcwgs-1-1.clmp.fp2_r1_screen	7471.0	13125.0	1969.0	1184.0	1207.0	172.0	88.0	71.0	3.0	0.0	0.0	54180.0	1722564.0
Dar-CJol_031-Ex1-4H-lcwgs-1-1.clmp.fp2_r2_screen	7391.0	13076.0	1907.0	1175.0	1196.0	170.0	78.0	52.0	0.0	0.0	0.0	53344.0	1723645.0
Dar-CJol_032-Ex1-3H-lcwgs-1-1.clmp.fp2_r1_screen	12522.0	13144.0	1967.0	1138.0	1150.0	154.0	88.0	80.0	2.0	0.0	0.0	63695.0	1461354.0
Dar-CJol_032-Ex1-3H-lcwgs-1-1.clmp.fp2_r2_screen	12442.0	13072.0	1864.0	1147.0	1136.0	144.0	84.0	88.0	2.0	0.0	0.0	62250.0	1463065.0
