Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sob-APnd_059-Ex1-11E-lcwgs-1-T.clmp.fp2_r2_screen	665.0	372.0	46.0	22.0	23.0	3.0	3.0	2.0	1.0	0.0	1431.0	34013.0
Sob-APnd_060-Ex1-12E-lcwgs-1-T.clmp.fp2_r1_screen	392.0	774.0	98.0	68.0	64.0	11.0	18.0	3.0	0.0	0.0	2859.0	81962.0
Sob-APnd_060-Ex1-12E-lcwgs-1-T.clmp.fp2_r2_screen	393.0	760.0	100.0	61.0	61.0	13.0	18.0	5.0	2.0	0.0	2840.0	81996.0
Sob-APnd_061-Ex1-1F-lcwgs-1-T.clmp.fp2_r1_screen	24409.0	2754.0	266.0	184.0	149.0	47.0	21.0	4.0	1.0	0.0	15043.0	251205.0
Sob-APnd_061-Ex1-1F-lcwgs-1-T.clmp.fp2_r2_screen	24387.0	2771.0	301.0	199.0	150.0	24.0	29.0	14.0	2.0	0.0	14795.0	251411.0
Sob-APnd_062-Ex1-2F-lcwgs-1-T.clmp.fp2_r1_screen	5455.0	1250.0	166.0	139.0	68.0	12.0	11.0	5.0	1.0	0.0	6126.0	125186.0
Sob-APnd_062-Ex1-2F-lcwgs-1-T.clmp.fp2_r2_screen	5405.0	1244.0	169.0	115.0	74.0	15.0	9.0	6.0	0.0	1.0	6015.0	125366.0
Sob-APnd_063-Ex1-3F-lcwgs-1-T.clmp.fp2_r1_screen	7078.0	1691.0	253.0	146.0	93.0	22.0	25.0	7.0	0.0	0.0	7526.0	170905.0
Sob-APnd_063-Ex1-3F-lcwgs-1-T.clmp.fp2_r2_screen	6976.0	1668.0	253.0	160.0	100.0	28.0	15.0	13.0	5.0	0.0	7605.0	170923.0
Sob-APnd_064-Ex1-4F-lcwgs-1-T.clmp.fp2_r1_screen	2302.0	769.0	113.0	85.0	44.0	14.0	15.0	5.0	0.0	0.0	2861.0	73379.0
Sob-APnd_064-Ex1-4F-lcwgs-1-T.clmp.fp2_r2_screen	2239.0	784.0	122.0	78.0	44.0	13.0	16.0	5.0	2.0	0.0	2818.0	73466.0
Sob-APnd_065-Ex1-5F-lcwgs-1-T.clmp.fp2_r1_screen	1353076.0	156981.0	17973.0	10664.0	6081.0	1747.0	1630.0	489.0	8.0	0.0	702374.0	9748032.0
Sob-APnd_065-Ex1-5F-lcwgs-1-T.clmp.fp2_r2_screen	1350375.0	157461.0	18000.0	10211.0	5857.0	1559.0	1590.0	474.0	10.0	0.0	692287.0	9761231.0
Sob-APnd_066-Ex1-6F-lcwgs-1-T.clmp.fp2_r1_screen	1728.0	500.0	60.0	43.0	23.0	7.0	8.0	2.0	0.0	0.0	1898.0	44851.0
Sob-APnd_066-Ex1-6F-lcwgs-1-T.clmp.fp2_r2_screen	1699.0	500.0	58.0	40.0	28.0	11.0	5.0	4.0	1.0	0.0	1923.0	44851.0
Sob-APnd_067-Ex1-7F-lcwgs-1-T.clmp.fp2_r1_screen	3132.0	1937.0	382.0	175.0	134.0	23.0	23.0	11.0	0.0	0.0	6972.0	242470.0
Sob-APnd_067-Ex1-7F-lcwgs-1-T.clmp.fp2_r2_screen	3081.0	1940.0	367.0	192.0	131.0	24.0	22.0	10.0	1.0	0.0	6919.0	242572.0
Sob-APnd_068-Ex1-8F-lcwgs-1-T.clmp.fp2_r1_screen	4239.0	1607.0	201.0	130.0	93.0	21.0	19.0	3.0	3.0	0.0	5896.0	150831.0
Sob-APnd_068-Ex1-8F-lcwgs-1-T.clmp.fp2_r2_screen	4169.0	1653.0	233.0	160.0	87.0	16.0	18.0	4.0	1.0	0.0	5920.0	150782.0
Sob-APnd_069-Ex1-9F-lcwgs-1-T.clmp.fp2_r1_screen	4081.0	844.0	84.0	53.0	31.0	7.0	10.0	1.0	0.0	0.0	3167.0	52676.0
Sob-APnd_069-Ex1-9F-lcwgs-1-T.clmp.fp2_r2_screen	4020.0	869.0	79.0	50.0	28.0	8.0	7.0	6.0	4.0	0.0	3146.0	52737.0
Sob-APnd_070-Ex1-10F-lcwgs-1-T.clmp.fp2_r1_screen	2840.0	6197.0	942.0	609.0	457.0	100.0	87.0	30.0	2.0	0.0	22523.0	682028.0
Sob-APnd_070-Ex1-10F-lcwgs-1-T.clmp.fp2_r2_screen	2859.0	6268.0	962.0	592.0	426.0	86.0	79.0	20.0	0.0	0.0	22423.0	682100.0
Sob-APnd_071-Ex1-11F-lcwgs-1-T.clmp.fp2_r1_screen	2370.0	457.0	37.0	29.0	13.0	2.0	5.0	1.0	0.0	0.0	1790.0	25756.0
Sob-APnd_071-Ex1-11F-lcwgs-1-T.clmp.fp2_r2_screen	2352.0	453.0	43.0	29.0	12.0	3.0	2.0	2.0	1.0	0.0	1773.0	25790.0
Sob-APnd_072-Ex1-12F-lcwgs-1-T.clmp.fp2_r1_screen	14378.0	18108.0	2316.0	1737.0	939.0	237.0	229.0	73.0	1.0	0.0	79067.0	1589685.0
