Sample	Human	Bacteria_24k	Protists_1k	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Sfa-CBas_078_Ex1_L3_clmp.fp2_r2_screen	7847.0	4258.0	51250.0	5895.0	4811.0	787.0	805.0	339.0	15.0	0.0	0.0	236086.0	5372654.0
Sfa-CBas_084_Ex1_L3_clmp.fp2_r1_screen	4163.0	5312.0	25926.0	2885.0	2481.0	454.0	405.0	222.0	8.0	0.0	0.0	143880.0	3084263.0
Sfa-CBas_084_Ex1_L3_clmp.fp2_r2_screen	4081.0	5359.0	26186.0	2809.0	2429.0	387.0	354.0	213.0	5.0	0.0	0.0	144894.0	3083282.0
Sfa-CBas_086_Ex1_L3_clmp.fp2_r1_screen	6881.0	6028.0	44525.0	5023.0	4266.0	774.0	721.0	298.0	22.0	0.0	0.0	213125.0	4766046.0
Sfa-CBas_086_Ex1_L3_clmp.fp2_r2_screen	6729.0	6013.0	44704.0	4992.0	4063.0	692.0	717.0	298.0	20.0	0.0	0.0	214444.0	4765037.0
Sfa-CBas_088_Ex1_L3_clmp.fp2_r1_screen	7754.0	6220.0	48308.0	5698.0	4449.0	818.0	808.0	358.0	17.0	0.0	0.0	213196.0	5419231.0
Sfa-CBas_088_Ex1_L3_clmp.fp2_r2_screen	7605.0	6236.0	48279.0	5524.0	4430.0	800.0	771.0	331.0	14.0	0.0	0.0	216490.0	5416377.0
Sfa-CBas_090_Ex1_L3_clmp.fp2_r1_screen	4869.0	3637.0	30983.0	3498.0	2960.0	529.0	568.0	240.0	16.0	0.0	0.0	167085.0	3282910.0
Sfa-CBas_090_Ex1_L3_clmp.fp2_r2_screen	4822.0	3610.0	31746.0	3551.0	2870.0	489.0	528.0	253.0	10.0	0.0	0.0	169304.0	3280112.0
Sfa-CBas_091_Ex1_L3_clmp.fp2_r1_screen	35618.0	4551.0	48955.0	5634.0	4978.0	875.0	859.0	375.0	22.0	0.0	0.0	257944.0	5822496.0
Sfa-CBas_091_Ex1_L3_clmp.fp2_r2_screen	35467.0	4427.0	49721.0	5667.0	4892.0	823.0	810.0	375.0	16.0	0.0	0.0	260086.0	5820023.0
Sfa-CBas_092_Ex1_L3_clmp.fp2_r1_screen	8377.0	3915.0	51964.0	5848.0	5266.0	768.0	840.0	385.0	18.0	0.0	0.0	267685.0	5624923.0
Sfa-CBas_092_Ex1_L3_clmp.fp2_r2_screen	8256.0	3912.0	52905.0	5882.0	5053.0	809.0	862.0	380.0	23.0	0.0	0.0	271760.0	5620147.0
Sfa-CBas_096_Ex1_L3_clmp.fp2_r1_screen	8792.0	5655.0	56627.0	6287.0	5283.0	816.0	889.0	372.0	18.0	0.0	0.0	260473.0	6155945.0
Sfa-CBas_096_Ex1_L3_clmp.fp2_r2_screen	8915.0	5573.0	56786.0	6288.0	5236.0	808.0	850.0	395.0	26.0	0.0	0.0	262935.0	6153345.0
