Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Goy-CPnd_020-Ex1-5B-lcwgs-1-2.clmp.fp2_r2_screen	191841.0	78504.0	31794.0	18287.0	15431.0	3525.0	2770.0	831.0	26.0	0.0	0.0	747755.0	29721767.0
Goy-CPnd_025-Ex1-5D-lcwgs-1-2.clmp.fp2_r1_screen	10573.0	2191.0	1934.0	1110.0	912.0	218.0	175.0	61.0	6.0	0.0	0.0	42572.0	1761950.0
Goy-CPnd_025-Ex1-5D-lcwgs-1-2.clmp.fp2_r2_screen	10870.0	2153.0	1915.0	1062.0	900.0	239.0	192.0	63.0	4.0	0.0	0.0	42536.0	1761768.0
Goy-CPnd_026-Ex1-2F-lcwgs-1-2.clmp.fp2_r1_screen	26739.0	2031.0	5193.0	2596.0	2531.0	610.0	483.0	137.0	4.0	0.0	0.0	101887.0	4415809.0
Goy-CPnd_026-Ex1-2F-lcwgs-1-2.clmp.fp2_r2_screen	27117.0	2018.0	5153.0	2496.0	2440.0	548.0	446.0	142.0	5.0	0.0	0.0	101390.0	4416265.0
Goy-CPnd_027-Ex1-2H-lcwgs-1-2.clmp.fp2_r1_screen	422410.0	140584.0	96226.0	42379.0	39333.0	9573.0	7502.0	2215.0	125.0	0.0	0.0	1617876.0	65184903.0
Goy-CPnd_027-Ex1-2H-lcwgs-1-2.clmp.fp2_r2_screen	426664.0	140052.0	94225.0	41489.0	38086.0	9412.0	7261.0	2078.0	106.0	0.0	0.0	1618850.0	65184903.0
Goy-CPnd_031-Ex1-1F-lcwgs-1-2.clmp.fp2_r1_screen	4034.0	16506.0	840.0	376.0	383.0	94.0	59.0	30.0	2.0	0.0	0.0	19087.0	545972.0
Goy-CPnd_031-Ex1-1F-lcwgs-1-2.clmp.fp2_r2_screen	3972.0	16430.0	842.0	375.0	351.0	93.0	63.0	29.0	1.0	0.0	0.0	19079.0	546148.0
Goy-CPnd_035-Ex1-3A-lcwgs-1-2.clmp.fp2_r1_screen	185412.0	27140.0	31125.0	17691.0	15159.0	3567.0	2754.0	832.0	35.0	0.0	0.0	709468.0	29012327.0
Goy-CPnd_035-Ex1-3A-lcwgs-1-2.clmp.fp2_r2_screen	186232.0	27051.0	30521.0	17598.0	14566.0	3469.0	2741.0	780.0	35.0	0.0	0.0	707189.0	29015328.0
Goy-CPnd_037-Ex1-3H-lcwgs-1-2.clmp.fp2_r1_screen	16300.0	2187.0	3046.0	1545.0	1430.0	337.0	251.0	87.0	7.0	0.0	0.0	62924.0	2557923.0
Goy-CPnd_037-Ex1-3H-lcwgs-1-2.clmp.fp2_r2_screen	16435.0	2155.0	3111.0	1548.0	1413.0	329.0	253.0	83.0	6.0	0.0	0.0	62781.0	2557923.0
