Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Multiple Genomes	No hits
Sne-CCab_063-Ex1-6H-lcwgs-1-1.clmp.fp2_r2_screen	736.0	13310.0	1487.0	1173.0	818.0	210.0	153.0	50.0	1.0	46001.0	1149323.0
Sne-CCab_064-Ex1-7A-lcwgs-1-1.clmp.fp2_r1_screen	1584.0	23725.0	2993.0	2210.0	1657.0	434.0	439.0	102.0	8.0	83394.0	2111855.0
Sne-CCab_064-Ex1-7A-lcwgs-1-1.clmp.fp2_r2_screen	1546.0	23744.0	2895.0	2211.0	1571.0	403.0	350.0	92.0	2.0	82841.0	2112746.0
Sne-CCab_065-Ex1-7B-lcwgs-1-1.clmp.fp2_r1_screen	1341.0	12655.0	1572.0	1104.0	842.0	185.0	200.0	53.0	0.0	43924.0	985090.0
Sne-CCab_065-Ex1-7B-lcwgs-1-1.clmp.fp2_r2_screen	1318.0	12586.0	1555.0	1091.0	751.0	175.0	164.0	51.0	4.0	43553.0	985718.0
Sne-CCab_066-Ex1-7C-lcwgs-1-1.clmp.fp2_r1_screen	3819.0	21219.0	3664.0	2051.0	1454.0	360.0	363.0	70.0	2.0	77298.0	1963000.0
Sne-CCab_066-Ex1-7C-lcwgs-1-1.clmp.fp2_r2_screen	3786.0	21189.0	3569.0	1915.0	1391.0	369.0	329.0	97.0	3.0	76823.0	1963829.0
Sne-CCab_067-Ex1-7D-lcwgs-1-1.clmp.fp2_r1_screen	4805.0	27290.0	3200.0	2433.0	1887.0	412.0	396.0	111.0	4.0	95724.0	2594434.0
Sne-CCab_067-Ex1-7D-lcwgs-1-1.clmp.fp2_r2_screen	4819.0	26875.0	3268.0	2529.0	1706.0	411.0	396.0	112.0	10.0	94771.0	2595799.0
Sne-CCab_068-Ex1-7E-lcwgs-1-1.clmp.fp2_r1_screen	2661.0	17151.0	2172.0	1607.0	1247.0	311.0	266.0	83.0	9.0	61525.0	1612804.0
Sne-CCab_068-Ex1-7E-lcwgs-1-1.clmp.fp2_r2_screen	2645.0	17031.0	2092.0	1553.0	1146.0	265.0	251.0	74.0	3.0	60612.0	1614164.0
Sne-CCab_069-Ex1-7F-lcwgs-1-1.clmp.fp2_r1_screen	1369.0	19736.0	2367.0	1769.0	1386.0	349.0	317.0	78.0	5.0	67575.0	1815527.0
Sne-CCab_069-Ex1-7F-lcwgs-1-1.clmp.fp2_r2_screen	1420.0	19903.0	2335.0	1731.0	1300.0	289.0	331.0	93.0	4.0	67545.0	1815527.0
Sne-CCab_070-Ex1-7G-lcwgs-1-1.clmp.fp2_r1_screen	797.0	15383.0	1870.0	1379.0	1051.0	258.0	256.0	63.0	2.0	53260.0	1388635.0
Sne-CCab_070-Ex1-7G-lcwgs-1-1.clmp.fp2_r2_screen	818.0	15236.0	1883.0	1285.0	1003.0	284.0	231.0	52.0	3.0	52792.0	1389367.0
Sne-CCab_071-Ex1-7H-lcwgs-1-1.clmp.fp2_r1_screen	533.0	9249.0	1012.0	788.0	542.0	135.0	140.0	32.0	2.0	32002.0	715122.0
Sne-CCab_071-Ex1-7H-lcwgs-1-1.clmp.fp2_r2_screen	550.0	9233.0	1061.0	804.0	568.0	166.0	128.0	34.0	4.0	32038.0	714971.0
Sne-CCab_072-Ex1-8A-lcwgs-1-1.clmp.fp2_r1_screen	793.0	12019.0	1354.0	1106.0	737.0	194.0	172.0	66.0	3.0	42197.0	913836.0
Sne-CCab_072-Ex1-8A-lcwgs-1-1.clmp.fp2_r2_screen	760.0	12190.0	1323.0	1059.0	715.0	166.0	174.0	48.0	5.0	42201.0	913836.0
Sne-CCab_073-Ex1-8B-lcwgs-1-1.clmp.fp2_r1_screen	674.0	9115.0	1026.0	796.0	572.0	141.0	123.0	39.0	4.0	31605.0	728131.0
Sne-CCab_073-Ex1-8B-lcwgs-1-1.clmp.fp2_r2_screen	655.0	9147.0	976.0	766.0	560.0	138.0	106.0	27.0	2.0	31563.0	728286.0
Sne-CCab_074-Ex1-8C-lcwgs-1-1.clmp.fp2_r1_screen	16.0	123.0	18.0	6.0	14.0	0.0	1.0	1.0	0.0	468.0	12235.0
Sne-CCab_074-Ex1-8C-lcwgs-1-1.clmp.fp2_r2_screen	16.0	121.0	24.0	13.0	9.0	3.0	3.0	1.0	0.0	464.0	12228.0
Sne-CCab_075-Ex1-8D-lcwgs-1-1.clmp.fp2_r1_screen	702.0	11297.0	1303.0	1016.0	733.0	195.0	183.0	34.0	3.0	39421.0	1027688.0
Sne-CCab_075-Ex1-8D-lcwgs-1-1.clmp.fp2_r2_screen	767.0	11481.0	1295.0	1048.0	677.0	142.0	147.0	39.0	2.0	38856.0	1028121.0
Sne-CCab_076-Ex1-8E-lcwgs-1-1.clmp.fp2_r1_screen	1595.0	15726.0	1963.0	1423.0	1132.0	269.0	269.0	54.0	2.0	55787.0	1527930.0
Sne-CCab_076-Ex1-8E-lcwgs-1-1.clmp.fp2_r2_screen	1599.0	15701.0	1910.0	1380.0	1109.0	246.0	219.0	71.0	3.0	55340.0	1528572.0
Sne-CCab_077-Ex1-8F-lcwgs-1-1.clmp.fp2_r1_screen	1148.0	18023.0	2172.0	1658.0	1303.0	342.0	308.0	76.0	3.0	63613.0	1673699.0
Sne-CCab_077-Ex1-8F-lcwgs-1-1.clmp.fp2_r2_screen	1105.0	18026.0	2094.0	1602.0	1253.0	308.0	272.0	69.0	7.0	63206.0	1674403.0
Sne-CCab_078-Ex1-8G-lcwgs-1-1.clmp.fp2_r1_screen	1883.0	17646.0	2081.0	1679.0	1236.0	295.0	281.0	73.0	4.0	63152.0	1603805.0
Sne-CCab_078-Ex1-8G-lcwgs-1-1.clmp.fp2_r2_screen	1901.0	17532.0	2050.0	1623.0	1183.0	310.0	293.0	85.0	2.0	61997.0	1605159.0
Sne-CCab_079-Ex1-8H-lcwgs-1-1.clmp.fp2_r1_screen	1016.0	14628.0	1660.0	1277.0	903.0	222.0	231.0	52.0	2.0	50291.0	1276107.0
Sne-CCab_079-Ex1-8H-lcwgs-1-1.clmp.fp2_r2_screen	1033.0	14671.0	1653.0	1269.0	921.0	245.0	195.0	61.0	4.0	49826.0	1276511.0
