Sequence_Name	Extraction_ID
GotPopWCL70	PopWC-L-70-11H-lcwgs-1-2
GotPopWCL16	PopWC-L-16-12A-lcwgs-1-2
GotPopCS13	PopC-S-13-12B-lcwgs-1-2
GotPopBL17	PopB-L-17-12C-lcwgs-1-2
GotPopBL46	PopB-L-46-12D-lcwgs-1-2
GotPopBS32	PopB-S-32-12E-lcwgs-1-2
GotPopBL25	PopB-L-25-12F-lcwgs-1-2
GotPopBL26	PopB-L-26-12G-lcwgs-1-2
GotPopCS42	PopC-S-42-12H-lcwgs-1-2
GotPopWBL156	PopWB-L-156-1A-lcwgs-1-2
GotPopWAL94	PopWA-L-94-1B-lcwgs-1-2
GotPopWCL259	PopWC-L-259-1C-lcwgs-1-2
GotPopWCL238	PopWC-L-238-1D-lcwgs-1-2
GotPopAL44	PopA-L-44-1E-lcwgs-1-2
GotPopAL12	PopA-L-12-1F-lcwgs-1-2
GotPopWBS252	PopWB-S-252-1G-lcwgs-1-2
GotPopAL28	PopA-L-28-1H-lcwgs-1-2
GotPopWCL134	PopWC-L-134-2A-lcwgs-1-2
GotPopCS37	PopC-S-37-2B-lcwgs-1-2
GotPopAL25	PopA-L-25-2C-lcwgs-1-2
GotPopCS35	PopC-S-35-2D-lcwgs-1-2
GotPopAS44	PopA-S-44-2E-lcwgs-1-2
GotPopWCL224	PopWC-L-224-2F-lcwgs-1-2
GotPopWCL202	PopWC-L-202-2G-lcwgs-1-2
GotPopAL21	PopA-L-21-2H-lcwgs-1-2
GotPopWCL256	PopWC-L-256-3A-lcwgs-1-2
GotPopAL29	PopA-L-29-3B-lcwgs-1-2
GotPopBL1	PopB-L-1-3C-lcwgs-1-2
GotPopWAS296	PopWA-S-296-3D-lcwgs-1-2
GotPopAS49	PopA-S-49-3E-lcwgs-1-2
GotPopCS29	PopC-S-29-3F-lcwgs-1-2
GotPopWCL48	PopWC-L-48-3G-lcwgs-1-2
GotPopWCL155	PopWC-L-155-3H-lcwgs-1-2
GotPopWCS124	PopWC-S-124-4A-lcwgs-1-2
GotPopWBS290	PopWB-S-290-4B-lcwgs-1-2
GotPopBL2	PopB-L-2-4C-lcwgs-1-2
GotPopBS27	PopB-S-27-4D-lcwgs-1-2
GotPopWBS16	PopWB-S-16-4E-lcwgs-1-2
GotPopAL49	PopA-L-49-4F-lcwgs-1-2
GotPopBS43	PopB-S-43-4G-lcwgs-1-2
GotPopWCL24	PopWC-L-24-4H-lcwgs-1-2
GotPopWBL100	PopWB-L-100-5A-lcwgs-1-2
GotPopWAL66	PopWA-L-66-5B-lcwgs-1-2
GotPopAS9	PopA-S-9-5C-lcwgs-1-2
GotPopWCL223	PopWC-L-223-5D-lcwgs-1-2
GotPopBS26	PopB-S-26-5E-lcwgs-1-2
GotPopBS1	PopB-S-1-5F-lcwgs-1-2
GotPopWCS146	PopWC-S-146-5G-lcwgs-1-2
GotPopBL4	PopB-L-4-5H-lcwgs-1-2
GotPopAS14	PopA-S-14-6A-lcwgs-1-2
GotPopAS35	PopA-S-35-6B-lcwgs-1-2
GotPopWCL265	PopWC-L-265-6C-lcwgs-1-2
GotPopWCS144	PopWC-S-144-6D-lcwgs-1-2
GotPopBL16	PopB-L-16-6E-lcwgs-1-2
GotPopBL21	PopB-L-21-6F-lcwgs-1-2
GotPopBS3	PopB-S-3-6G-lcwgs-1-2
GotPopBL19	PopB-L-19-6H-lcwgs-1-2
GotPopWCL112	PopWC-L-112-7A-lcwgs-1-2
GotPopAS27	PopA-S-27-7B-lcwgs-1-2
GotPopWCL160	PopWC-L-160-7C-lcwgs-1-2
GotPopWBS161	PopWB-S-161-7D-lcwgs-1-2
GotPopBS25	PopB-S-25-7E-lcwgs-1-2
GotPopCS11	PopC-S-11-7F-lcwgs-1-2
GotPopAS7	PopA-S-7-7G-lcwgs-1-2
GotPopWBS124	PopWB-S-124-7H-lcwgs-1-2
GotPopWCL101	PopWC-L-101-8A-lcwgs-1-2
GotPopWCL279	PopWC-L-279-8B-lcwgs-1-2
GotPopBS18	PopB-S-18-8C-lcwgs-1-2
GotPopAS48	PopA-S-48-8D-lcwgs-1-2
GotPopWCL226	PopWC-L-226-8E-lcwgs-1-2
GotPopWBS234	PopWB-S-234-8F-lcwgs-1-2
GotPopAS22	PopA-S-22-8G-lcwgs-1-2
GotPopWCS137	PopWC-S-137-8H-lcwgs-1-2
