Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Multiple Genomes	No hits
Cvi-CPal_047-Ex1-5G-lcwgs-1-T.clmp.fp2_r2_screen	598.0	4128.0	602.0	408.0	290.0	64.0	69.0	22.0	1.0	12989.0	639616.0
Cvi-CPal_048-Ex1-5H-lcwgs-1-T.clmp.fp2_r1_screen	699.0	3844.0	504.0	288.0	242.0	56.0	56.0	12.0	0.0	11840.0	615696.0
Cvi-CPal_048-Ex1-5H-lcwgs-1-T.clmp.fp2_r2_screen	674.0	3913.0	525.0	310.0	246.0	63.0	39.0	17.0	0.0	12071.0	615379.0
Cvi-CPal_049-Ex1-6A-lcwgs-1-T.clmp.fp2_r1_screen	3968.0	57342.0	7450.0	4796.0	4189.0	872.0	778.0	260.0	7.0	171688.0	10309549.0
Cvi-CPal_049-Ex1-6A-lcwgs-1-T.clmp.fp2_r2_screen	3846.0	57938.0	7575.0	4849.0	4008.0	957.0	779.0	263.0	8.0	175351.0	10305325.0
Cvi-CPal_050-Ex1-6B-lcwgs-1-T.clmp.fp2_r1_screen	1303.0	16359.0	2071.0	1354.0	1186.0	254.0	208.0	100.0	3.0	52718.0	2743679.0
Cvi-CPal_050-Ex1-6B-lcwgs-1-T.clmp.fp2_r2_screen	1304.0	16674.0	2053.0	1349.0	1122.0	262.0	198.0	88.0	1.0	53633.0	2742551.0
Cvi-CPal_051-Ex1-6C-lcwgs-1-T.clmp.fp2_r1_screen	605.0	8254.0	1082.0	738.0	560.0	137.0	86.0	36.0	2.0	25743.0	1326949.0
Cvi-CPal_051-Ex1-6C-lcwgs-1-T.clmp.fp2_r2_screen	576.0	8374.0	1127.0	754.0	535.0	114.0	108.0	53.0	2.0	26418.0	1326131.0
Cvi-CPal_052-Ex1-6D-lcwgs-1-T.clmp.fp2_r1_screen	365.0	6816.0	897.0	540.0	495.0	103.0	84.0	35.0	0.0	19275.0	1134381.0
Cvi-CPal_052-Ex1-6D-lcwgs-1-T.clmp.fp2_r2_screen	350.0	7033.0	849.0	581.0	429.0	110.0	126.0	27.0	1.0	19569.0	1133916.0
Cvi-CPal_053-Ex1-6E-lcwgs-1-T.clmp.fp2_r1_screen	364.0	6024.0	727.0	533.0	382.0	88.0	84.0	34.0	0.0	18910.0	893047.0
Cvi-CPal_053-Ex1-6E-lcwgs-1-T.clmp.fp2_r2_screen	371.0	6095.0	723.0	497.0	382.0	87.0	74.0	32.0	0.0	19345.0	892587.0
Cvi-CPal_054-Ex1-6F-lcwgs-1-T.clmp.fp2_r1_screen	499.0	8887.0	1110.0	776.0	557.0	120.0	105.0	39.0	0.0	25912.0	1401555.0
Cvi-CPal_054-Ex1-6F-lcwgs-1-T.clmp.fp2_r2_screen	520.0	8876.0	1101.0	773.0	569.0	144.0	107.0	29.0	0.0	26174.0	1401267.0
Cvi-CPal_055-Ex1-6G-lcwgs-1-T.clmp.fp2_r1_screen	217.0	5500.0	650.0	494.0	297.0	75.0	86.0	15.0	1.0	15054.0	782970.0
Cvi-CPal_055-Ex1-6G-lcwgs-1-T.clmp.fp2_r2_screen	216.0	5501.0	653.0	452.0	325.0	87.0	72.0	24.0	2.0	15380.0	782647.0
Cvi-CPal_056-Ex1-6H-lcwgs-1-T.clmp.fp2_r1_screen	666.0	11232.0	1327.0	988.0	688.0	159.0	148.0	46.0	1.0	34705.0	1678740.0
Cvi-CPal_056-Ex1-6H-lcwgs-1-T.clmp.fp2_r2_screen	665.0	11363.0	1378.0	1092.0	692.0	175.0	145.0	54.0	4.0	35602.0	1677530.0
Cvi-CPal_057-Ex1-7A-lcwgs-1-T.clmp.fp2_r1_screen	1210.0	23454.0	3157.0	2045.0	1686.0	395.0	323.0	101.0	3.0	72076.0	4141480.0
Cvi-CPal_057-Ex1-7A-lcwgs-1-T.clmp.fp2_r2_screen	1160.0	23803.0	3187.0	2053.0	1671.0	408.0	339.0	116.0	0.0	72138.0	4141055.0
Cvi-CPal_058-Ex1-7B-lcwgs-1-T.clmp.fp2_r1_screen	531.0	8283.0	1102.0	710.0	580.0	154.0	104.0	31.0	0.0	25338.0	1436470.0
Cvi-CPal_058-Ex1-7B-lcwgs-1-T.clmp.fp2_r2_screen	487.0	8370.0	1101.0	695.0	580.0	132.0	122.0	35.0	1.0	25605.0	1436175.0
Cvi-CPal_059-Ex1-7C-lcwgs-1-T.clmp.fp2_r1_screen	644.0	9103.0	1263.0	779.0	691.0	180.0	131.0	45.0	1.0	28324.0	1598717.0
Cvi-CPal_059-Ex1-7C-lcwgs-1-T.clmp.fp2_r2_screen	623.0	9349.0	1254.0	812.0	684.0	144.0	144.0	42.0	3.0	28926.0	1597897.0
Cvi-CPal_060-Ex1-7D-lcwgs-1-T.clmp.fp2_r1_screen	678.0	11635.0	1617.0	1035.0	810.0	178.0	171.0	65.0	1.0	37979.0	1982233.0
Cvi-CPal_060-Ex1-7D-lcwgs-1-T.clmp.fp2_r2_screen	658.0	11602.0	1618.0	1091.0	829.0	173.0	157.0	65.0	1.0	38178.0	1982030.0
Cvi-CPal_061-Ex1-7E-lcwgs-1-T.clmp.fp2_r1_screen	845.0	14639.0	1869.0	1290.0	914.0	252.0	188.0	87.0	1.0	46798.0	2279860.0
Cvi-CPal_061-Ex1-7E-lcwgs-1-T.clmp.fp2_r2_screen	792.0	14917.0	1903.0	1250.0	950.0	244.0	192.0	74.0	2.0	47497.0	2278922.0
Cvi-CPal_062-Ex1-7F-lcwgs-1-T.clmp.fp2_r1_screen	1045.0	17196.0	2146.0	1521.0	1135.0	294.0	260.0	83.0	2.0	53031.0	2764483.0
Cvi-CPal_062-Ex1-7F-lcwgs-1-T.clmp.fp2_r2_screen	1078.0	17180.0	2182.0	1590.0	1089.0	293.0	228.0	82.0	1.0	53558.0	2763915.0
Cvi-CPal_063-Ex1-7G-lcwgs-1-T.clmp.fp2_r1_screen	564.0	9229.0	1218.0	779.0	584.0	137.0	124.0	60.0	0.0	29217.0	1482128.0
Cvi-CPal_063-Ex1-7G-lcwgs-1-T.clmp.fp2_r2_screen	573.0	9331.0	1183.0	828.0	631.0	151.0	123.0	55.0	1.0	29798.0	1481366.0
Cvi-CPal_064-Ex1-7H-lcwgs-1-T.clmp.fp2_r1_screen	312.0	5010.0	642.0	421.0	365.0	62.0	64.0	15.0	0.0	14229.0	775835.0
Cvi-CPal_064-Ex1-7H-lcwgs-1-T.clmp.fp2_r2_screen	316.0	5050.0	622.0	398.0	330.0	62.0	79.0	15.0	1.0	14566.0	775516.0
Cvi-CPal_065-Ex1-8A-lcwgs-1-T.clmp.fp2_r1_screen	623.0	9810.0	1286.0	957.0	614.0	159.0	129.0	53.0	4.0	30689.0	1573309.0
Cvi-CPal_065-Ex1-8A-lcwgs-1-T.clmp.fp2_r2_screen	644.0	9708.0	1233.0	933.0	649.0	158.0	138.0	50.0	1.0	31295.0	1572824.0
Cvi-CPal_066-Ex1-8B-lcwgs-1-T.clmp.fp2_r1_screen	458.0	6080.0	722.0	567.0	435.0	109.0	87.0	31.0	2.0	19531.0	1041507.0
Cvi-CPal_066-Ex1-8B-lcwgs-1-T.clmp.fp2_r2_screen	462.0	6249.0	789.0	576.0	470.0	95.0	91.0	28.0	1.0	19582.0	1041186.0
Cvi-CPal_067-Ex1-8C-lcwgs-1-T.clmp.fp2_r1_screen	304.0	5984.0	695.0	508.0	389.0	85.0	87.0	18.0	5.0	17028.0	891051.0
Cvi-CPal_067-Ex1-8C-lcwgs-1-T.clmp.fp2_r2_screen	293.0	5819.0	735.0	509.0	391.0	79.0	70.0	21.0	3.0	17458.0	890776.0
Cvi-CPal_068-Ex1-8D-lcwgs-1-T.clmp.fp2_r1_screen	285.0	4638.0	567.0	426.0	272.0	54.0	71.0	26.0	3.0	12826.0	718042.0
Cvi-CPal_068-Ex1-8D-lcwgs-1-T.clmp.fp2_r2_screen	281.0	4643.0	568.0	431.0	256.0	63.0	64.0	21.0	1.0	13061.0	717821.0
Cvi-CPal_069-Ex1-8E-lcwgs-1-T.clmp.fp2_r1_screen	963.0	10816.0	1286.0	980.0	704.0	175.0	127.0	53.0	3.0	36426.0	1683560.0
Cvi-CPal_069-Ex1-8E-lcwgs-1-T.clmp.fp2_r2_screen	946.0	11047.0	1322.0	872.0	710.0	164.0	125.0	62.0	1.0	36631.0	1683213.0
Cvi-CPal_070-Ex1-8F-lcwgs-1-T.clmp.fp2_r1_screen	252.0	4975.0	606.0	434.0	329.0	77.0	66.0	22.0	3.0	14648.0	735178.0
Cvi-CPal_070-Ex1-8F-lcwgs-1-T.clmp.fp2_r2_screen	260.0	5109.0	604.0	420.0	305.0	81.0	57.0	28.0	0.0	14926.0	734800.0
Cvi-CPal_071-Ex1-8G-lcwgs-1-T.clmp.fp2_r1_screen	226.0	3807.0	433.0	313.0	226.0	75.0	32.0	17.0	2.0	11492.0	548785.0
Cvi-CPal_071-Ex1-8G-lcwgs-1-T.clmp.fp2_r2_screen	212.0	3780.0	437.0	318.0	211.0	49.0	49.0	25.0	1.0	11711.0	548615.0
Cvi-CPal_072-Ex1-1A-lcwgs-1-T.clmp.fp2_r1_screen	2618.0	23383.0	3540.0	2073.0	1646.0	396.0	304.0	113.0	0.0	69512.0	4107157.0
Cvi-CPal_072-Ex1-1A-lcwgs-1-T.clmp.fp2_r2_screen	2561.0	23526.0	3604.0	2016.0	1669.0	436.0	333.0	119.0	5.0	70579.0	4105894.0
Cvi-CPal_079-Ex1-8H-lcwgs-1-T.clmp.fp2_r1_screen	279.0	4916.0	607.0	409.0	326.0	70.0	77.0	19.0	1.0	14149.0	778079.0
Cvi-CPal_079-Ex1-8H-lcwgs-1-T.clmp.fp2_r2_screen	301.0	5039.0	599.0	413.0	308.0	79.0	57.0	26.0	0.0	14190.0	777920.0
Cvi-CPal_087-Ex1-1B-lcwgs-1-T.clmp.fp2_r1_screen	815.0	7982.0	1107.0	673.0	536.0	134.0	101.0	30.0	0.0	23163.0	1288850.0
Cvi-CPal_087-Ex1-1B-lcwgs-1-T.clmp.fp2_r2_screen	818.0	7801.0	1130.0	701.0	558.0	118.0	114.0	37.0	3.0	23658.0	1288453.0
Cvi-CPal_093-Ex1-1C-lcwgs-1-T.clmp.fp2_r1_screen	1055.0	9483.0	1312.0	755.0	645.0	160.0	133.0	44.0	1.0	31171.0	1565248.0
Cvi-CPal_093-Ex1-1C-lcwgs-1-T.clmp.fp2_r2_screen	1085.0	9472.0	1298.0	744.0	701.0	127.0	90.0	47.0	3.0	31514.0	1564926.0
