Sample	Human	Protists_1k	Bacteria_24k	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sfa-CBas_039-Ex1-10B-lcwgs-2-T.clmp.fp2_r2_screen	3263.0	23394.0	1956.0	2543.0	2048.0	332.0	313.0	158.0	11.0	0.0	111045.0	2478133.0
Sfa-CBas_041-Ex1-6A-lcwgs-1-T.clmp.fp2_r1_screen	3991.0	24259.0	1693.0	2951.0	2234.0	461.0	417.0	132.0	16.0	0.0	104048.0	3068060.0
Sfa-CBas_041-Ex1-6A-lcwgs-1-T.clmp.fp2_r2_screen	4059.0	24770.0	1667.0	2716.0	2156.0	469.0	434.0	145.0	10.0	0.0	103455.0	3068381.0
Sfa-CBas_042-Ex1-3B-lcwgs-2-T.clmp.fp2_r1_screen	1147.0	7508.0	716.0	813.0	617.0	119.0	115.0	62.0	5.0	0.0	32266.0	753824.0
Sfa-CBas_042-Ex1-3B-lcwgs-2-T.clmp.fp2_r2_screen	1067.0	7317.0	699.0	817.0	635.0	120.0	102.0	48.0	4.0	0.0	32001.0	754382.0
Sfa-CBas_043-Ex1-6F-lcwgs-1-T.clmp.fp2_r1_screen	7878.0	51422.0	3518.0	5792.0	4644.0	821.0	835.0	314.0	21.0	0.0	226718.0	6191862.0
Sfa-CBas_043-Ex1-6F-lcwgs-1-T.clmp.fp2_r2_screen	7935.0	51736.0	3543.0	5767.0	4493.0	775.0	775.0	313.0	17.0	0.0	225311.0	6193160.0
Sfa-CBas_044-Ex1-8B-lcwgs-2-T.clmp.fp2_r1_screen	208.0	1521.0	462.0	189.0	127.0	24.0	22.0	11.0	1.0	0.0	6726.0	160873.0
Sfa-CBas_044-Ex1-8B-lcwgs-2-T.clmp.fp2_r2_screen	201.0	1439.0	452.0	177.0	88.0	25.0	29.0	6.0	0.0	0.0	6721.0	161026.0
Sfa-CBas_045-Ex1-4F-lcwgs-1-T.clmp.fp2_r1_screen	7.0	111.0	10.0	10.0	12.0	1.0	2.0	0.0	0.0	0.0	390.0	9969.0
Sfa-CBas_045-Ex1-4F-lcwgs-1-T.clmp.fp2_r2_screen	10.0	112.0	14.0	9.0	6.0	2.0	0.0	1.0	0.0	0.0	399.0	9959.0
Sfa-CBas_046-Ex1-11B-lcwgs-2-T.clmp.fp2_r1_screen	4935.0	30228.0	5745.0	3433.0	2580.0	456.0	474.0	195.0	15.0	0.0	132027.0	3205018.0
Sfa-CBas_046-Ex1-11B-lcwgs-2-T.clmp.fp2_r2_screen	4785.0	29984.0	5708.0	3494.0	2522.0	447.0	474.0	188.0	15.0	0.0	130440.0	3207049.0
Sfa-CBas_048-Ex1-4C-lcwgs-1-T.clmp.fp2_r1_screen	6546.0	42311.0	3111.0	4799.0	4001.0	606.0	633.0	329.0	17.0	0.0	208363.0	4572140.0
Sfa-CBas_048-Ex1-4C-lcwgs-1-T.clmp.fp2_r2_screen	6369.0	42344.0	3034.0	4912.0	3824.0	610.0	607.0	355.0	14.0	0.0	206226.0	4574561.0
Sfa-CBas_052-Ex1-8A-lcwgs-1-T.clmp.fp2_r1_screen	658.0	4585.0	230.0	496.0	373.0	93.0	86.0	30.0	0.0	0.0	21454.0	540035.0
Sfa-CBas_052-Ex1-8A-lcwgs-1-T.clmp.fp2_r2_screen	691.0	4647.0	224.0	491.0	355.0	74.0	74.0	20.0	2.0	0.0	21200.0	540262.0
Sfa-CBas_056-Ex1-7B-lcwgs-2-T.clmp.fp2_r1_screen	1125.0	8249.0	2143.0	939.0	710.0	127.0	107.0	66.0	1.0	0.0	39391.0	831043.0
Sfa-CBas_056-Ex1-7B-lcwgs-2-T.clmp.fp2_r2_screen	1136.0	8364.0	2124.0	939.0	667.0	110.0	104.0	63.0	3.0	0.0	38552.0	831839.0
Sfa-CBas_058-Ex1-8E-lcwgs-1-T.clmp.fp2_r1_screen	541.0	3464.0	290.0	420.0	288.0	36.0	65.0	30.0	0.0	0.0	16774.0	389878.0
Sfa-CBas_058-Ex1-8E-lcwgs-1-T.clmp.fp2_r2_screen	522.0	3430.0	297.0	380.0	271.0	60.0	46.0	21.0	2.0	0.0	16508.0	390249.0
Sfa-CBas_059-Ex1-7H-lcwgs-1-T.clmp.fp2_r1_screen	4815.0	32655.0	1936.0	3685.0	2757.0	591.0	569.0	264.0	13.0	0.0	173571.0	3466209.0
Sfa-CBas_059-Ex1-7H-lcwgs-1-T.clmp.fp2_r2_screen	4684.0	33118.0	1964.0	3767.0	2831.0	498.0	521.0	260.0	18.0	0.0	171351.0	3468053.0
Sfa-CBas_061-Ex1-2D-lcwgs-1-T.clmp.fp2_r1_screen	2743.0	18063.0	1830.0	2072.0	1776.0	254.0	253.0	143.0	9.0	0.0	91867.0	1841613.0
Sfa-CBas_061-Ex1-2D-lcwgs-1-T.clmp.fp2_r2_screen	2633.0	18061.0	1737.0	2131.0	1688.0	266.0	216.0	160.0	8.0	0.0	91130.0	1842593.0
Sfa-CBas_062-Ex1-2B-lcwgs-2-T.clmp.fp2_r1_screen	2779.0	21098.0	3925.0	2425.0	1794.0	261.0	277.0	148.0	7.0	0.0	93505.0	1919464.0
Sfa-CBas_062-Ex1-2B-lcwgs-2-T.clmp.fp2_r2_screen	2626.0	20835.0	3860.0	2340.0	1787.0	293.0	268.0	138.0	7.0	0.0	92633.0	1920896.0
Sfa-CBas_064-Ex1-3F-lcwgs-1-T.clmp.fp2_r1_screen	519.0	2649.0	502.0	299.0	230.0	31.0	27.0	19.0	0.0	0.0	14189.0	282265.0
Sfa-CBas_064-Ex1-3F-lcwgs-1-T.clmp.fp2_r2_screen	478.0	2681.0	505.0	311.0	227.0	22.0	36.0	38.0	0.0	0.0	14197.0	282235.0
Sfa-CBas_066-Ex1-2C-lcwgs-1-T.clmp.fp2_r1_screen	4683.0	31167.0	2042.0	3379.0	2841.0	429.0	528.0	216.0	12.0	0.0	144723.0	3155390.0
Sfa-CBas_066-Ex1-2C-lcwgs-1-T.clmp.fp2_r2_screen	4645.0	30744.0	2033.0	3484.0	2762.0	436.0	429.0	226.0	9.0	0.0	143245.0	3157397.0
Sfa-CBas_067-Ex1-3B-lcwgs-1-T.clmp.fp2_r1_screen	8382.0	56462.0	3148.0	6615.0	5084.0	891.0	901.0	437.0	17.0	0.0	271300.0	5988532.0
Sfa-CBas_067-Ex1-3B-lcwgs-1-T.clmp.fp2_r2_screen	8104.0	56550.0	3074.0	6418.0	4858.0	914.0	778.0	412.0	27.0	0.0	269565.0	5991069.0
Sfa-CBas_073-Ex1-9B-lcwgs-2-T.clmp.fp2_r1_screen	2971.0	10314.0	4306.0	1137.0	883.0	167.0	151.0	65.0	3.0	0.0	49101.0	1106034.0
Sfa-CBas_073-Ex1-9B-lcwgs-2-T.clmp.fp2_r2_screen	2988.0	10292.0	4291.0	1111.0	853.0	146.0	137.0	70.0	1.0	0.0	48269.0	1106974.0
Sfa-CBas_074-Ex1-2A-lcwgs-1-T.clmp.fp2_r1_screen	1716.0	10562.0	1147.0	1133.0	957.0	153.0	130.0	82.0	1.0	0.0	55491.0	1087258.0
Sfa-CBas_074-Ex1-2A-lcwgs-1-T.clmp.fp2_r2_screen	1617.0	10555.0	1161.0	1099.0	997.0	127.0	155.0	76.0	5.0	0.0	54653.0	1088185.0
Sfa-CBas_076-Ex1-8A-lcwgs-2-T.clmp.fp2_r1_screen	2635.0	18558.0	1819.0	2081.0	1622.0	268.0	267.0	116.0	8.0	0.0	82614.0	1886151.0
Sfa-CBas_076-Ex1-8A-lcwgs-2-T.clmp.fp2_r2_screen	2521.0	18696.0	1897.0	2059.0	1564.0	276.0	247.0	111.0	4.0	0.0	81615.0	1887149.0
Sfa-CBas_077-Ex1-1A-lcwgs-1-T.clmp.fp2_r1_screen	144.0	720.0	108.0	89.0	58.0	12.0	14.0	8.0	0.0	0.0	3448.0	99253.0
Sfa-CBas_077-Ex1-1A-lcwgs-1-T.clmp.fp2_r2_screen	145.0	763.0	114.0	98.0	73.0	8.0	8.0	11.0	0.0	0.0	3381.0	99253.0
Sfa-CBas_078-Ex1-7A-lcwgs-2-T.clmp.fp2_r1_screen	3943.0	24661.0	3331.0	2820.0	2202.0	390.0	388.0	160.0	9.0	0.0	106190.0	2796596.0
Sfa-CBas_078-Ex1-7A-lcwgs-2-T.clmp.fp2_r2_screen	3932.0	24646.0	3164.0	2770.0	2164.0	367.0	348.0	179.0	19.0	0.0	105035.0	2798066.0
Sfa-CBas_084-Ex1-9A-lcwgs-2-T.clmp.fp2_r1_screen	3047.0	23327.0	44295.0	2285.0	1679.0	285.0	292.0	153.0	6.0	0.0	133820.0	2146541.0
Sfa-CBas_084-Ex1-9A-lcwgs-2-T.clmp.fp2_r2_screen	3073.0	22942.0	44195.0	2281.0	1561.0	288.0	297.0	183.0	6.0	0.0	131536.0	2149368.0
Sfa-CBas_086-Ex1-4D-lcwgs-1-T.clmp.fp2_r1_screen	6672.0	43447.0	6105.0	4936.0	3900.0	690.0	679.0	329.0	13.0	0.0	201301.0	4789882.0
Sfa-CBas_086-Ex1-4D-lcwgs-1-T.clmp.fp2_r2_screen	6582.0	43459.0	6045.0	4707.0	3899.0	666.0	641.0	315.0	15.0	0.0	198202.0	4793423.0
Sfa-CBas_088-Ex1-2B-lcwgs-1-T.clmp.fp2_r1_screen	7656.0	50032.0	6741.0	5810.0	4411.0	854.0	799.0	371.0	15.0	0.0	211024.0	5860000.0
Sfa-CBas_088-Ex1-2B-lcwgs-1-T.clmp.fp2_r2_screen	7527.0	50200.0	6743.0	5863.0	4355.0	822.0	760.0	331.0	21.0	0.0	210477.0	5860614.0
Sfa-CBas_090-Ex1-12B-lcwgs-2-T.clmp.fp2_r1_screen	3163.0	20464.0	4775.0	2366.0	1903.0	335.0	296.0	131.0	2.0	0.0	92810.0	2301525.0
Sfa-CBas_090-Ex1-12B-lcwgs-2-T.clmp.fp2_r2_screen	3152.0	20461.0	4742.0	2252.0	1844.0	274.0	299.0	161.0	10.0	0.0	91350.0	2303225.0
Sfa-CBas_091-Ex1-5B-lcwgs-1-T.clmp.fp2_r1_screen	11237.0	14178.0	1324.0	1631.0	1314.0	279.0	234.0	98.0	8.0	0.0	71035.0	1761487.0
Sfa-CBas_091-Ex1-5B-lcwgs-1-T.clmp.fp2_r2_screen	11097.0	14439.0	1397.0	1608.0	1262.0	232.0	232.0	95.0	6.0	0.0	70225.0	1762232.0
Sfa-CBas_092-Ex1-1E-lcwgs-1-T.clmp.fp2_r1_screen	2281.0	14250.0	1123.0	1642.0	1397.0	218.0	220.0	118.0	4.0	0.0	70518.0	1595187.0
Sfa-CBas_092-Ex1-1E-lcwgs-1-T.clmp.fp2_r2_screen	2254.0	14164.0	1065.0	1603.0	1332.0	197.0	201.0	113.0	7.0	0.0	69654.0	1596368.0
Sfa-CBas_096-Ex1-1H-lcwgs-1-T.clmp.fp2_r1_screen	2506.0	16185.0	1632.0	1791.0	1482.0	226.0	240.0	111.0	4.0	0.0	71915.0	1841244.0
Sfa-CBas_096-Ex1-1H-lcwgs-1-T.clmp.fp2_r2_screen	2532.0	16120.0	1634.0	1755.0	1453.0	214.0	236.0	115.0	5.0	0.0	71447.0	1841825.0
