Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Multiple Genomes	No hits
Psq-AGal_084-Ex1-12G-lcwgs-1-1.clmp.fp2_r2_screen	17105.0	4776.0	951.0	1227.0	446.0	209.0	94.0	51.0	3.0	32097.0	1449877.0
Psq-AGal_086-Ex1-2H-lcwgs-1-1.clmp.fp2_r1_screen	17137.0	3426.0	1230.0	1231.0	579.0	248.0	127.0	35.0	7.0	29478.0	1884806.0
Psq-AGal_086-Ex1-2H-lcwgs-1-1.clmp.fp2_r2_screen	17265.0	3440.0	1176.0	1218.0	574.0	238.0	117.0	34.0	5.0	29237.0	1885000.0
Psq-AGal_087-Ex1-3H-lcwgs-1-1.clmp.fp2_r1_screen	15501.0	2552.0	1211.0	1177.0	538.0	238.0	129.0	41.0	0.0	29900.0	1717218.0
Psq-AGal_087-Ex1-3H-lcwgs-1-1.clmp.fp2_r2_screen	16028.0	2470.0	1117.0	1186.0	567.0	233.0	123.0	46.0	5.0	29689.0	1717041.0
Psq-AGal_088-Ex1-4H-lcwgs-1-1.clmp.fp2_r1_screen	7820.0	3020.0	506.0	548.0	261.0	122.0	55.0	21.0	0.0	13804.0	773742.0
Psq-AGal_088-Ex1-4H-lcwgs-1-1.clmp.fp2_r2_screen	7987.0	2963.0	516.0	571.0	277.0	113.0	57.0	23.0	0.0	13650.0	773742.0
Psq-AGal_089-Ex1-5H-lcwgs-1-1.clmp.fp2_r1_screen	14901.0	5180.0	1089.0	1086.0	449.0	256.0	97.0	30.0	8.0	26829.0	1440372.0
Psq-AGal_089-Ex1-5H-lcwgs-1-1.clmp.fp2_r2_screen	15398.0	5189.0	1166.0	1067.0	431.0	256.0	91.0	42.0	0.0	26733.0	1439924.0
Psq-AGal_090-Ex1-6H-lcwgs-1-1.clmp.fp2_r1_screen	18003.0	7995.0	1317.0	1294.0	535.0	266.0	106.0	28.0	13.0	36095.0	2058998.0
Psq-AGal_090-Ex1-6H-lcwgs-1-1.clmp.fp2_r2_screen	17927.0	7889.0	1342.0	1323.0	547.0	269.0	118.0	39.0	2.0	36196.0	2058998.0
Psq-AGal_091-Ex1-7H-lcwgs-1-1.clmp.fp2_r1_screen	10427.0	2177.0	732.0	759.0	358.0	173.0	59.0	31.0	1.0	19324.0	1177380.0
Psq-AGal_091-Ex1-7H-lcwgs-1-1.clmp.fp2_r2_screen	10578.0	2132.0	712.0	740.0	375.0	177.0	78.0	30.0	1.0	19218.0	1177380.0
Psq-AGal_092-Ex1-8H-lcwgs-1-1.clmp.fp2_r1_screen	18229.0	3947.0	813.0	1102.0	391.0	259.0	118.0	47.0	0.0	27542.0	1561333.0
Psq-AGal_092-Ex1-8H-lcwgs-1-1.clmp.fp2_r2_screen	18964.0	3959.0	771.0	1274.0	377.0	315.0	110.0	34.0	1.0	27773.0	1560203.0
Psq-AGal_093-Ex1-9H-lcwgs-1-1.clmp.fp2_r1_screen	13936.0	2997.0	937.0	1029.0	431.0	252.0	123.0	30.0	4.0	23313.0	1533937.0
Psq-AGal_093-Ex1-9H-lcwgs-1-1.clmp.fp2_r2_screen	14102.0	2958.0	999.0	1022.0	419.0	227.0	116.0	34.0	3.0	23330.0	1533779.0
Psq-AGal_094-Ex1-10H-lcwgs-1-1.clmp.fp2_r1_screen	11246.0	3138.0	628.0	839.0	348.0	157.0	63.0	33.0	1.0	19553.0	1026090.0
Psq-AGal_094-Ex1-10H-lcwgs-1-1.clmp.fp2_r2_screen	11476.0	3168.0	640.0	797.0	360.0	139.0	64.0	35.0	1.0	19432.0	1025984.0
Psq-AGal_095-Ex1-11H-lcwgs-1-1.clmp.fp2_r1_screen	13755.0	2326.0	878.0	983.0	449.0	188.0	103.0	44.0	4.0	26186.0	1488047.0
Psq-AGal_095-Ex1-11H-lcwgs-1-1.clmp.fp2_r2_screen	14164.0	2328.0	919.0	987.0	449.0	226.0	127.0	50.0	3.0	25817.0	1487893.0
Psq-AGal_096-Ex1-12H-lcwgs-1-1.clmp.fp2_r1_screen	11460.0	2994.0	3915.0	888.0	476.0	178.0	69.0	25.0	8.0	25102.0	1387076.0
Psq-AGal_096-Ex1-12H-lcwgs-1-1.clmp.fp2_r2_screen	11647.0	3015.0	3894.0	903.0	430.0	156.0	70.0	34.0	5.0	25104.0	1386933.0
Psq-CVer_010-Ex1-10A-lcwgs-1-1.clmp.fp2_r1_screen	17967.0	17224.0	4169.0	1767.0	1786.0	281.0	153.0	88.0	8.0	91932.0	2094855.0
Psq-CVer_010-Ex1-10A-lcwgs-1-1.clmp.fp2_r2_screen	18299.0	17230.0	4086.0	1703.0	1756.0	301.0	135.0	118.0	7.0	89510.0	2097085.0
Psq-CVer_012-Ex1-10C-lcwgs-1-1.clmp.fp2_r1_screen	532.0	1131.0	764.0	74.0	59.0	11.0	5.0	4.0	0.0	3131.0	73384.0
Psq-CVer_012-Ex1-10C-lcwgs-1-1.clmp.fp2_r2_screen	552.0	1138.0	749.0	72.0	50.0	9.0	2.0	3.0	2.0	3087.0	73431.0
Psq-CVer_015-Ex1-1A-lcwgs-1-1.clmp.fp2_r1_screen	21732.0	9815.0	3552.0	2075.0	2361.0	331.0	181.0	132.0	5.0	99424.0	2597796.0
Psq-CVer_015-Ex1-1A-lcwgs-1-1.clmp.fp2_r2_screen	21825.0	9748.0	3493.0	2167.0	2294.0	317.0	194.0	129.0	9.0	97242.0	2599986.0
Psq-CVer_018-Ex1-9C-lcwgs-1-1.clmp.fp2_r1_screen	3097.0	6774.0	1340.0	328.0	327.0	47.0	26.0	38.0	3.0	17525.0	382570.0
Psq-CVer_018-Ex1-9C-lcwgs-1-1.clmp.fp2_r2_screen	3221.0	6696.0	1314.0	312.0	326.0	50.0	20.0	26.0	2.0	17167.0	382941.0
Psq-CVer_021-Ex1-9E-lcwgs-1-1.clmp.fp2_r1_screen	36494.0	62636.0	9695.0	3323.0	3509.0	501.0	319.0	201.0	5.0	189334.0	4097102.0
Psq-CVer_021-Ex1-9E-lcwgs-1-1.clmp.fp2_r2_screen	37223.0	62076.0	9644.0	3376.0	3363.0	480.0	318.0	233.0	11.0	184890.0	4101505.0
Psq-CVer_023-Ex1-10D-lcwgs-1-1.clmp.fp2_r1_screen	23587.0	9513.0	4392.0	2351.0	2532.0	382.0	222.0	146.0	9.0	116555.0	2870461.0
Psq-CVer_023-Ex1-10D-lcwgs-1-1.clmp.fp2_r2_screen	23963.0	9428.0	4218.0	2291.0	2550.0	358.0	204.0	149.0	10.0	113791.0	2873188.0
Psq-CVer_024-Ex1-10H-lcwgs-1-1.clmp.fp2_r1_screen	13394.0	8200.0	2678.0	1316.0	1271.0	230.0	130.0	72.0	4.0	59166.0	1793120.0
Psq-CVer_024-Ex1-10H-lcwgs-1-1.clmp.fp2_r2_screen	13716.0	8164.0	2607.0	1315.0	1221.0	221.0	106.0	73.0	5.0	58093.0	1794060.0
Psq-CVer_025-Ex1-2B-lcwgs-1-1.clmp.fp2_r1_screen	19616.0	26655.0	14054.0	1986.0	2158.0	300.0	205.0	121.0	13.0	108596.0	2659964.0
Psq-CVer_025-Ex1-2B-lcwgs-1-1.clmp.fp2_r2_screen	20173.0	26361.0	14063.0	1951.0	1981.0	300.0	172.0	134.0	14.0	106005.0	2662514.0
Psq-CVer_026-Ex1-4F-lcwgs-1-1.clmp.fp2_r1_screen	1045.0	11517.0	62.0	19.0	20.0	4.0	2.0	0.0	0.0	6441.0	39978.0
Psq-CVer_026-Ex1-4F-lcwgs-1-1.clmp.fp2_r2_screen	1119.0	11466.0	68.0	13.0	13.0	0.0	2.0	2.0	0.0	6184.0	40221.0
Psq-CVer_027-Ex1-3C-lcwgs-1-1.clmp.fp2_r1_screen	10617.0	4729.0	1823.0	1122.0	1212.0	176.0	126.0	62.0	6.0	60655.0	1388946.0
Psq-CVer_027-Ex1-3C-lcwgs-1-1.clmp.fp2_r2_screen	10724.0	4724.0	1848.0	1126.0	1136.0	191.0	102.0	73.0	3.0	59278.0	1390269.0
Psq-CVer_028-Ex1-1F-lcwgs-1-1.clmp.fp2_r1_screen	12934.0	48246.0	3462.0	1166.0	1303.0	161.0	101.0	68.0	4.0	66006.0	1149731.0
Psq-CVer_028-Ex1-1F-lcwgs-1-1.clmp.fp2_r2_screen	12866.0	47805.0	3443.0	1093.0	1257.0	184.0	92.0	78.0	6.0	64189.0	1152169.0
Psq-CVer_029-Ex1-3A-lcwgs-1-1.clmp.fp2_r1_screen	20502.0	38013.0	4376.0	1962.0	2217.0	318.0	180.0	134.0	11.0	110603.0	2257686.0
Psq-CVer_029-Ex1-3A-lcwgs-1-1.clmp.fp2_r2_screen	20702.0	37508.0	4443.0	1891.0	2065.0	292.0	143.0	133.0	3.0	108456.0	2260366.0
Psq-CVer_030-Ex1-11H-lcwgs-1-1.clmp.fp2_r1_screen	450.0	470.0	95.0	43.0	55.0	8.0	1.0	6.0	0.0	2264.0	56839.0
Psq-CVer_030-Ex1-11H-lcwgs-1-1.clmp.fp2_r2_screen	416.0	468.0	71.0	45.0	48.0	7.0	3.0	6.0	0.0	2273.0	56894.0
Psq-CVer_031-Ex1-3D-lcwgs-1-1.clmp.fp2_r1_screen	14105.0	3344.0	2405.0	1431.0	1685.0	217.0	145.0	120.0	10.0	66673.0	1917314.0
Psq-CVer_031-Ex1-3D-lcwgs-1-1.clmp.fp2_r2_screen	14581.0	3275.0	2378.0	1389.0	1550.0	235.0	146.0	94.0	4.0	65278.0	1918519.0
Psq-CVer_032-Ex1-10B-lcwgs-1-1.clmp.fp2_r1_screen	498.0	576.0	78.0	53.0	34.0	9.0	4.0	1.0	0.0	2684.0	84127.0
Psq-CVer_032-Ex1-10B-lcwgs-1-1.clmp.fp2_r2_screen	576.0	613.0	65.0	48.0	41.0	13.0	7.0	5.0	0.0	2666.0	84030.0
Psq-CVer_033-Ex1-11C-lcwgs-1-1.clmp.fp2_r1_screen	22364.0	23113.0	4974.0	2145.0	2335.0	334.0	182.0	112.0	8.0	104497.0	2571400.0
Psq-CVer_033-Ex1-11C-lcwgs-1-1.clmp.fp2_r2_screen	22457.0	22805.0	4810.0	2216.0	2148.0	317.0	199.0	97.0	6.0	102278.0	2574131.0
Psq-CVer_034-Ex1-9H-lcwgs-1-1.clmp.fp2_r1_screen	15907.0	11449.0	2577.0	1462.0	1294.0	259.0	134.0	86.0	4.0	75605.0	1782984.0
Psq-CVer_036-Ex1-12F-lcwgs-1-1.clmp.fp2_r1_screen	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0
Psq-CVer_036-Ex1-12F-lcwgs-1-1.clmp.fp2_r2_screen	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0
Psq-CVer_037-Ex1-12B-lcwgs-1-1.clmp.fp2_r1_screen	2007.0	1888.0	335.0	213.0	213.0	43.0	19.0	6.0	2.0	9545.0	250487.0
Psq-CVer_037-Ex1-12B-lcwgs-1-1.clmp.fp2_r2_screen	2083.0	1897.0	349.0	213.0	240.0	25.0	11.0	7.0	5.0	9335.0	250593.0
Psq-CVer_038-Ex1-3H-lcwgs-1-1.clmp.fp2_r1_screen	18334.0	2328.0	3000.0	1614.0	1949.0	269.0	159.0	107.0	5.0	84833.0	1934638.0
Psq-CVer_038-Ex1-3H-lcwgs-1-1.clmp.fp2_r2_screen	18180.0	2264.0	3018.0	1590.0	1750.0	290.0	163.0	120.0	6.0	82966.0	1936889.0
Psq-CVer_039-Ex1-12H-lcwgs-1-1.clmp.fp2_r1_screen	21877.0	15240.0	3921.0	2061.0	2054.0	363.0	209.0	130.0	11.0	101290.0	2618930.0
Psq-CVer_039-Ex1-12H-lcwgs-1-1.clmp.fp2_r2_screen	22008.0	15130.0	3804.0	2050.0	2043.0	368.0	192.0	125.0	6.0	99217.0	2621143.0
Psq-CVer_041-Ex1-2D-lcwgs-1-1.clmp.fp2_r1_screen	19749.0	5032.0	3250.0	1787.0	1977.0	350.0	204.0	122.0	7.0	86546.0	2381460.0
Psq-CVer_041-Ex1-2D-lcwgs-1-1.clmp.fp2_r2_screen	19928.0	4997.0	3270.0	1673.0	1863.0	341.0	183.0	116.0	6.0	84396.0	2383711.0
Psq-CVer_042-Ex1-2H-lcwgs-1-1.clmp.fp2_r1_screen	3274.0	41692.0	599.0	92.0	11.0	1.0	3.0	11.0	0.0	20090.0	97111.0
Psq-CVer_042-Ex1-2H-lcwgs-1-1.clmp.fp2_r2_screen	3173.0	41287.0	605.0	98.0	8.0	4.0	1.0	13.0	1.0	19818.0	97876.0
Psq-CVer_043-Ex1-9B-lcwgs-1-1.clmp.fp2_r1_screen	2108.0	1679.0	436.0	201.0	224.0	25.0	17.0	14.0	1.0	9848.0	255440.0
Psq-CVer_043-Ex1-9B-lcwgs-1-1.clmp.fp2_r2_screen	2085.0	1658.0	455.0	201.0	230.0	30.0	15.0	11.0	3.0	9649.0	255656.0
Psq-CVer_045-Ex1-10E-lcwgs-1-1.clmp.fp2_r1_screen	35109.0	59729.0	8728.0	3552.0	4114.0	483.0	284.0	265.0	14.0	206570.0	4159341.0
Psq-CVer_045-Ex1-10E-lcwgs-1-1.clmp.fp2_r2_screen	36533.0	59032.0	8574.0	3489.0	3959.0	460.0	300.0	265.0	17.0	201740.0	4163820.0
Psq-CVer_047-Ex1-12A-lcwgs-1-1.clmp.fp2_r1_screen	10260.0	36796.0	1586.0	773.0	798.0	106.0	58.0	54.0	6.0	56692.0	909274.0
Psq-CVer_047-Ex1-12A-lcwgs-1-1.clmp.fp2_r2_screen	10444.0	36725.0	1477.0	731.0	769.0	111.0	72.0	58.0	1.0	55115.0	910900.0
Psq-CVer_048-Ex1-11F-lcwgs-1-1.clmp.fp2_r1_screen	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
Psq-CVer_048-Ex1-11F-lcwgs-1-1.clmp.fp2_r2_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
Psq-CVer_049-Ex1-10F-lcwgs-1-1.clmp.fp2_r1_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0
Psq-CVer_049-Ex1-10F-lcwgs-1-1.clmp.fp2_r2_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	15.0
Psq-CVer_050-Ex1-1G-lcwgs-1-1.clmp.fp2_r1_screen	16781.0	31324.0	3088.0	1781.0	2030.0	244.0	160.0	119.0	7.0	96420.0	2294961.0
Psq-CVer_050-Ex1-1G-lcwgs-1-1.clmp.fp2_r2_screen	17374.0	31039.0	3020.0	1701.0	1933.0	266.0	155.0	98.0	7.0	93914.0	2297408.0
Psq-CVer_051-Ex1-11D-lcwgs-1-1.clmp.fp2_r1_screen	85.0	71.0	12.0	8.0	3.0	1.0	0.0	2.0	1.0	362.0	10115.0
Psq-CVer_051-Ex1-11D-lcwgs-1-1.clmp.fp2_r2_screen	86.0	77.0	8.0	9.0	3.0	3.0	2.0	1.0	0.0	336.0	10135.0
Psq-CVer_052-Ex1-9F-lcwgs-1-1.clmp.fp2_r1_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	15.0
Psq-CVer_052-Ex1-9F-lcwgs-1-1.clmp.fp2_r2_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0
Psq-CVer_053-Ex1-1C-lcwgs-1-1.clmp.fp2_r1_screen	21542.0	8670.0	5292.0	2054.0	2323.0	359.0	234.0	136.0	7.0	102251.0	2454720.0
Psq-CVer_053-Ex1-1C-lcwgs-1-1.clmp.fp2_r2_screen	21706.0	8628.0	5168.0	1972.0	2228.0	316.0	195.0	139.0	11.0	99907.0	2457318.0
Psq-CVer_054-Ex1-1H-lcwgs-1-1.clmp.fp2_r1_screen	27596.0	44644.0	4334.0	3045.0	2882.0	436.0	231.0	208.0	11.0	140004.0	3208113.0
Psq-CVer_054-Ex1-1H-lcwgs-1-1.clmp.fp2_r2_screen	28035.0	44117.0	4204.0	2891.0	2792.0	424.0	259.0	184.0	9.0	137045.0	3211544.0
Psq-CVer_055-Ex1-9D-lcwgs-1-1.clmp.fp2_r1_screen	20737.0	9153.0	4445.0	2063.0	2466.0	311.0	191.0	136.0	7.0	106357.0	2326437.0
Psq-CVer_055-Ex1-9D-lcwgs-1-1.clmp.fp2_r2_screen	20993.0	9130.0	4242.0	1898.0	2331.0	334.0	194.0	120.0	9.0	103649.0	2329403.0
Psq-CVer_056-Ex1-11A-lcwgs-1-1.clmp.fp2_r1_screen	9767.0	7879.0	1760.0	984.0	1151.0	190.0	114.0	49.0	3.0	42267.0	1496997.0
Psq-CVer_056-Ex1-11A-lcwgs-1-1.clmp.fp2_r2_screen	10056.0	7931.0	1747.0	1119.0	1037.0	148.0	108.0	53.0	2.0	41495.0	1497465.0
Psq-CVer_057-Ex1-10G-lcwgs-1-1.clmp.fp2_r1_screen	76.0	29.0	17.0	8.0	10.0	2.0	1.0	0.0	0.0	345.0	7974.0
Psq-CVer_057-Ex1-10G-lcwgs-1-1.clmp.fp2_r2_screen	70.0	29.0	12.0	7.0	4.0	1.0	0.0	0.0	0.0	329.0	8010.0
Psq-CVer_060-Ex1-2G-lcwgs-1-1.clmp.fp2_r1_screen	5691.0	41732.0	723.0	310.0	311.0	27.0	30.0	35.0	2.0	33448.0	387488.0
Psq-CVer_060-Ex1-2G-lcwgs-1-1.clmp.fp2_r2_screen	5735.0	41404.0	754.0	337.0	300.0	36.0	21.0	36.0	1.0	32651.0	388522.0
Psq-CVer_061-Ex1-1D-lcwgs-1-1.clmp.fp2_r1_screen	24662.0	11313.0	4190.0	2375.0	2610.0	352.0	236.0	146.0	13.0	114005.0	2868528.0
Psq-CVer_061-Ex1-1D-lcwgs-1-1.clmp.fp2_r2_screen	24610.0	11267.0	4114.0	2196.0	2592.0	394.0	198.0	144.0	9.0	111349.0	2871557.0
Psq-CVer_062-Ex1-1B-lcwgs-1-1.clmp.fp2_r1_screen	48644.0	10457.0	8584.0	4589.0	5192.0	853.0	502.0	310.0	28.0	213966.0	5956862.0
Psq-CVer_062-Ex1-1B-lcwgs-1-1.clmp.fp2_r2_screen	49088.0	10354.0	8243.0	4545.0	5070.0	828.0	479.0	307.0	19.0	209192.0	5961862.0
Psq-CVer_063-Ex1-2C-lcwgs-1-1.clmp.fp2_r1_screen	17659.0	6058.0	12919.0	1703.0	1865.0	295.0	171.0	111.0	5.0	84662.0	1993604.0
Psq-CVer_063-Ex1-2C-lcwgs-1-1.clmp.fp2_r2_screen	17713.0	6023.0	12905.0	1593.0	1815.0	288.0	162.0	112.0	4.0	82502.0	1995935.0
Psq-CVer_064-Ex1-1E-lcwgs-1-1.clmp.fp2_r1_screen	34124.0	33151.0	5996.0	3173.0	3439.0	495.0	300.0	229.0	8.0	161210.0	3482865.0
Psq-CVer_064-Ex1-1E-lcwgs-1-1.clmp.fp2_r2_screen	34682.0	32812.0	5891.0	3037.0	3305.0	505.0	271.0	182.0	11.0	156959.0	3487335.0
Psq-CVer_065-Ex1-4A-lcwgs-1-1.clmp.fp2_r1_screen	20302.0	4105.0	3813.0	1751.0	1979.0	343.0	184.0	116.0	8.0	86202.0	2430615.0
Psq-CVer_065-Ex1-4A-lcwgs-1-1.clmp.fp2_r2_screen	20298.0	4046.0	3778.0	1803.0	1927.0	322.0	181.0	101.0	5.0	84813.0	2432144.0
Psq-CVer_066-Ex1-4D-lcwgs-1-1.clmp.fp2_r1_screen	13991.0	2802.0	2252.0	1377.0	1664.0	215.0	145.0	104.0	4.0	67589.0	1650066.0
Psq-CVer_066-Ex1-4D-lcwgs-1-1.clmp.fp2_r2_screen	13915.0	2798.0	2163.0	1189.0	1666.0	212.0	119.0	94.0	5.0	66068.0	1651980.0
Psq-CVer_067-Ex1-11G-lcwgs-1-1.clmp.fp2_r1_screen	28.0	28.0	7.0	3.0	2.0	1.0	1.0	0.0	0.0	135.0	4614.0
Psq-CVer_067-Ex1-11G-lcwgs-1-1.clmp.fp2_r2_screen	36.0	25.0	5.0	7.0	1.0	0.0	0.0	0.0	0.0	140.0	4605.0
Psq-CVer_068-Ex1-2F-lcwgs-1-1.clmp.fp2_r1_screen	4400.0	1917.0	707.0	432.0	501.0	81.0	48.0	38.0	2.0	24693.0	599528.0
Psq-CVer_068-Ex1-2F-lcwgs-1-1.clmp.fp2_r2_screen	4616.0	1893.0	671.0	433.0	443.0	62.0	37.0	26.0	0.0	24132.0	600034.0
Psq-CVer_070-Ex1-9A-lcwgs-1-1.clmp.fp2_r1_screen	12792.0	5520.0	2218.0	1233.0	1324.0	200.0	121.0	87.0	3.0	56806.0	1596181.0
Psq-CVer_070-Ex1-9A-lcwgs-1-1.clmp.fp2_r2_screen	12815.0	5568.0	2101.0	1195.0	1312.0	202.0	138.0	75.0	3.0	55889.0	1597187.0
Psq-CVer_072-Ex1-12D-lcwgs-1-1.clmp.fp2_r1_screen	13042.0	12124.0	3354.0	1546.0	1871.0	187.0	139.0	116.0	7.0	71843.0	1822355.0
Psq-CVer_072-Ex1-12D-lcwgs-1-1.clmp.fp2_r2_screen	13376.0	11971.0	3237.0	1498.0	1828.0	223.0	116.0	111.0	9.0	70318.0	1823897.0
Psq-CVer_073-Ex1-3B-lcwgs-1-1.clmp.fp2_r1_screen	16142.0	4105.0	2647.0	1477.0	1578.0	266.0	168.0	76.0	4.0	69017.0	1877243.0
Psq-CVer_073-Ex1-3B-lcwgs-1-1.clmp.fp2_r2_screen	16168.0	4142.0	2623.0	1467.0	1480.0	247.0	136.0	73.0	2.0	68156.0	1878229.0
Psq-CVer_074-Ex1-4E-lcwgs-1-1.clmp.fp2_r1_screen	16211.0	4675.0	2935.0	1497.0	1767.0	282.0	157.0	98.0	3.0	76276.0	1890347.0
Psq-CVer_074-Ex1-4E-lcwgs-1-1.clmp.fp2_r2_screen	16437.0	4701.0	2782.0	1485.0	1628.0	254.0	144.0	108.0	7.0	74959.0	1891743.0
Psq-CVer_075-Ex1-12C-lcwgs-1-1.clmp.fp2_r1_screen	19306.0	19254.0	3311.0	1802.0	2018.0	314.0	198.0	118.0	11.0	94322.0	2157609.0
Psq-CVer_075-Ex1-12C-lcwgs-1-1.clmp.fp2_r2_screen	19558.0	19120.0	3154.0	1708.0	1911.0	318.0	166.0	101.0	2.0	92778.0	2159447.0
Psq-CVer_076-Ex1-9G-lcwgs-1-1.clmp.fp2_r1_screen	6231.0	22782.0	1077.0	520.0	608.0	64.0	39.0	28.0	2.0	33190.0	579580.0
Psq-CVer_076-Ex1-9G-lcwgs-1-1.clmp.fp2_r2_screen	6374.0	22779.0	1059.0	482.0	623.0	56.0	39.0	42.0	1.0	32378.0	580288.0
Psq-CVer_077-Ex1-4C-lcwgs-1-1.clmp.fp2_r1_screen	20104.0	7604.0	3275.0	1850.0	2324.0	311.0	205.0	143.0	13.0	100879.0	2160904.0
Psq-CVer_077-Ex1-4C-lcwgs-1-1.clmp.fp2_r2_screen	20254.0	7534.0	3175.0	1824.0	2256.0	287.0	163.0	121.0	11.0	98097.0	2163890.0
Psq-CVer_078-Ex1-4H-lcwgs-1-1.clmp.fp2_r1_screen	8803.0	14678.0	1384.0	726.0	953.0	99.0	72.0	64.0	3.0	50110.0	765289.0
Psq-CVer_078-Ex1-4H-lcwgs-1-1.clmp.fp2_r2_screen	8917.0	14654.0	1394.0	720.0	887.0	141.0	62.0	58.0	1.0	48794.0	766553.0
Psq-CVer_079-Ex1-4B-lcwgs-1-1.clmp.fp2_r1_screen	16153.0	3538.0	2599.0	1511.0	1620.0	305.0	189.0	87.0	6.0	69507.0	1994523.0
Psq-CVer_079-Ex1-4B-lcwgs-1-1.clmp.fp2_r2_screen	16536.0	3500.0	2749.0	1551.0	1684.0	298.0	162.0	99.0	6.0	67676.0	1995777.0
Psq-CVer_080-Ex1-11B-lcwgs-1-1.clmp.fp2_r1_screen	5993.0	4022.0	1109.0	604.0	572.0	85.0	47.0	38.0	2.0	27400.0	721043.0
Psq-CVer_080-Ex1-11B-lcwgs-1-1.clmp.fp2_r2_screen	6017.0	4001.0	1111.0	618.0	572.0	87.0	57.0	27.0	0.0	27002.0	721423.0
Psq-CVer_081-Ex1-2E-lcwgs-1-1.clmp.fp2_r1_screen	14746.0	4654.0	2637.0	1419.0	1782.0	239.0	151.0	96.0	11.0	76104.0	1687940.0
Psq-CVer_081-Ex1-2E-lcwgs-1-1.clmp.fp2_r2_screen	15161.0	4659.0	2600.0	1328.0	1795.0	252.0	130.0	109.0	4.0	74548.0	1689193.0
Psq-CVer_082-Ex1-12G-lcwgs-1-1.clmp.fp2_r1_screen	22450.0	3309.0	3679.0	2010.0	2085.0	370.0	182.0	120.0	9.0	98352.0	2513461.0
Psq-CVer_082-Ex1-12G-lcwgs-1-1.clmp.fp2_r2_screen	22815.0	3183.0	3622.0	1924.0	2036.0	338.0	175.0	107.0	5.0	96509.0	2515313.0
Psq-CVer_083-Ex1-12E-lcwgs-1-1.clmp.fp2_r1_screen	34025.0	80985.0	6788.0	3269.0	3020.0	470.0	275.0	227.0	11.0	177950.0	4254928.0
Psq-CVer_083-Ex1-12E-lcwgs-1-1.clmp.fp2_r2_screen	35334.0	80489.0	6547.0	3263.0	2841.0	455.0	270.0	216.0	9.0	174402.0	4258122.0
Psq-CVer_085-Ex1-11E-lcwgs-1-1.clmp.fp2_r1_screen	9365.0	24298.0	1505.0	873.0	713.0	125.0	84.0	51.0	2.0	53029.0	1101014.0
Psq-CVer_085-Ex1-11E-lcwgs-1-1.clmp.fp2_r2_screen	9538.0	23884.0	1371.0	851.0	755.0	132.0	74.0	67.0	2.0	51822.0	1102563.0
Psq-CVer_086-Ex1-3G-lcwgs-1-1.clmp.fp2_r1_screen	23811.0	11658.0	4078.0	2253.0	2696.0	396.0	237.0	151.0	9.0	118746.0	2579011.0
Psq-CVer_086-Ex1-3G-lcwgs-1-1.clmp.fp2_r2_screen	23453.0	11388.0	3940.0	2145.0	2577.0	382.0	213.0	152.0	7.0	115937.0	2582852.0
Psq-CVer_087-Ex1-4G-lcwgs-1-1.clmp.fp2_r1_screen	25996.0	10409.0	4674.0	2489.0	2881.0	394.0	262.0	159.0	5.0	123727.0	2904466.0
Psq-CVer_087-Ex1-4G-lcwgs-1-1.clmp.fp2_r2_screen	26402.0	10293.0	4415.0	2382.0	2785.0	456.0	215.0	153.0	8.0	120812.0	2907541.0
Psq-CVer_088-Ex1-3E-lcwgs-1-1.clmp.fp2_r1_screen	34385.0	24993.0	5651.0	3304.0	3289.0	544.0	339.0	181.0	14.0	158479.0	3824590.0
Psq-CVer_088-Ex1-3E-lcwgs-1-1.clmp.fp2_r2_screen	34462.0	24780.0	5616.0	3201.0	3228.0	555.0	294.0	196.0	14.0	155183.0	3828240.0
Psq-CVer_089-Ex1-2A-lcwgs-1-1.clmp.fp2_r1_screen	19200.0	2553.0	3127.0	1756.0	1835.0	308.0	190.0	108.0	11.0	81832.0	2326874.0
Psq-CVer_089-Ex1-2A-lcwgs-1-1.clmp.fp2_r2_screen	19580.0	2466.0	2982.0	1816.0	1812.0	307.0	178.0	107.0	7.0	81178.0	2327361.0
Psq-CVer_090-Ex1-3F-lcwgs-1-1.clmp.fp2_r1_screen	10486.0	3561.0	1745.0	1037.0	1196.0	176.0	96.0	53.0	2.0	47516.0	1172243.0
Psq-CVer_090-Ex1-3F-lcwgs-1-1.clmp.fp2_r2_screen	10530.0	3529.0	1748.0	938.0	1159.0	173.0	89.0	53.0	4.0	46407.0	1173481.0
