Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Coral	Bird	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Pli-AMvi_041-Ex1-6A-lcwgs-1-1.clmp.fp2_r1_screen	1918.0	2338.0	537.0	232.0	55.0	126.0	46.0	29.0	0.0	0.0	11405.0	157298.0
Pli-AMvi_041-Ex1-6A-lcwgs-1-1.clmp.fp2_r2_screen	1862.0	2397.0	520.0	220.0	66.0	112.0	32.0	24.0	0.0	0.0	11366.0	157385.0
Pli-AMvi_041-Ex1-6A-lcwgs-2-1.clmp.fp2_r1_screen	87080.0	22785.0	4161.0	1862.0	609.0	1192.0	282.0	283.0	15.0	0.0	153774.0	1631685.0
Pli-AMvi_041-Ex1-6A-lcwgs-2-1.clmp.fp2_r2_screen	86851.0	22899.0	4167.0	1713.0	571.0	1136.0	266.0	260.0	3.0	0.0	151322.0	1634540.0
Pli-AMvi_042-Ex1-5B-lcwgs-1-1.clmp.fp2_r1_screen	3.0	22.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	532.0	1235.0
Pli-AMvi_042-Ex1-5B-lcwgs-1-1.clmp.fp2_r2_screen	2.0	14.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	576.0	1202.0
Pli-AMvi_042-Ex1-5B-lcwgs-2-1.clmp.fp2_r1_screen	30.0	3.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	82.0	692.0
Pli-AMvi_042-Ex1-5B-lcwgs-2-1.clmp.fp2_r2_screen	44.0	7.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	686.0
Pli-AMvi_043-Ex1-6B-lcwgs-1-1.clmp.fp2_r1_screen	1168.0	752.0	175.0	71.0	23.0	40.0	17.0	3.0	0.0	0.0	5385.0	58921.0
Pli-AMvi_043-Ex1-6B-lcwgs-1-1.clmp.fp2_r2_screen	1150.0	796.0	196.0	81.0	18.0	32.0	5.0	7.0	1.0	0.0	5302.0	58967.0
Pli-AMvi_043-Ex1-6B-lcwgs-2-1.clmp.fp2_r1_screen	119171.0	15238.0	2250.0	777.0	264.0	514.0	135.0	110.0	21.0	0.0	118495.0	952885.0
Pli-AMvi_043-Ex1-6B-lcwgs-2-1.clmp.fp2_r2_screen	118018.0	15395.0	2262.0	756.0	240.0	539.0	142.0	108.0	12.0	0.0	115147.0	957241.0
Pli-AMvi_044-Ex1-5D-lcwgs-1-1.clmp.fp2_r1_screen	7.0	24.0	5.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	830.0	1830.0
Pli-AMvi_044-Ex1-5D-lcwgs-1-1.clmp.fp2_r2_screen	8.0	23.0	4.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	896.0	1766.0
Pli-AMvi_044-Ex1-5D-lcwgs-2-1.clmp.fp2_r1_screen	573.0	591.0	43.0	39.0	24.0	10.0	4.0	4.0	2.0	0.0	4693.0	66275.0
Pli-AMvi_044-Ex1-5D-lcwgs-2-1.clmp.fp2_r2_screen	607.0	549.0	44.0	49.0	25.0	12.0	4.0	6.0	1.0	0.0	4658.0	66303.0
Pli-AMvi_045-Ex1-6D-lcwgs-1-1.clmp.fp2_r1_screen	50.0	109.0	9.0	12.0	3.0	3.0	0.0	3.0	0.0	0.0	3411.0	11705.0
Pli-AMvi_045-Ex1-6D-lcwgs-1-1.clmp.fp2_r2_screen	46.0	113.0	14.0	9.0	4.0	5.0	0.0	2.0	0.0	0.0	3438.0	11674.0
Pli-AMvi_045-Ex1-6D-lcwgs-2-1.clmp.fp2_r1_screen	114.0	54.0	5.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	923.0	5628.0
Pli-AMvi_045-Ex1-6D-lcwgs-2-1.clmp.fp2_r2_screen	109.0	62.0	8.0	4.0	1.0	1.0	1.0	1.0	2.0	0.0	908.0	5632.0
Pli-AMvi_046-Ex1-1E-lcwgs-1-1.clmp.fp2_r1_screen	12.0	38.0	12.0	4.0	1.0	2.0	0.0	0.0	1.0	0.0	1126.0	1655.0
Pli-AMvi_046-Ex1-1E-lcwgs-1-1.clmp.fp2_r2_screen	12.0	25.0	11.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	1218.0	1580.0
Pli-AMvi_046-Ex1-1E-lcwgs-2-1.clmp.fp2_r1_screen	15508.0	3576.0	401.0	238.0	122.0	105.0	34.0	68.0	10.0	0.0	36267.0	338131.0
Pli-AMvi_046-Ex1-1E-lcwgs-2-1.clmp.fp2_r2_screen	15307.0	3765.0	384.0	246.0	108.0	123.0	44.0	30.0	12.0	0.0	35719.0	338722.0
Pli-AMvi_047-Ex1-2E-lcwgs-1-1.clmp.fp2_r1_screen	390.0	888.0	165.0	96.0	26.0	41.0	20.0	3.0	1.0	0.0	6286.0	87333.0
Pli-AMvi_047-Ex1-2E-lcwgs-1-1.clmp.fp2_r2_screen	390.0	872.0	182.0	97.0	30.0	45.0	17.0	4.0	0.0	0.0	6345.0	87267.0
Pli-AMvi_047-Ex1-2E-lcwgs-2-1.clmp.fp2_r1_screen	25.0	43.0	2.0	3.0	4.0	1.0	0.0	0.0	0.0	0.0	267.0	3262.0
Pli-AMvi_047-Ex1-2E-lcwgs-2-1.clmp.fp2_r2_screen	26.0	36.0	2.0	4.0	3.0	2.0	0.0	0.0	0.0	0.0	268.0	3266.0
Pli-AMvi_048-Ex1-3E-lcwgs-1-1.clmp.fp2_r1_screen	5.0	44.0	3.0	4.0	1.0	1.0	0.0	0.0	0.0	0.0	862.0	4519.0
Pli-AMvi_048-Ex1-3E-lcwgs-1-1.clmp.fp2_r2_screen	5.0	40.0	2.0	6.0	1.0	1.0	1.0	0.0	0.0	0.0	907.0	4476.0
Pli-AMvi_048-Ex1-3E-lcwgs-2-1.clmp.fp2_r1_screen	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	54.0
Pli-AMvi_048-Ex1-3E-lcwgs-2-1.clmp.fp2_r2_screen	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	52.0
Pli-AMvi_049-Ex1-4E-lcwgs-1-1.clmp.fp2_r1_screen	16.0	28.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	865.0	2237.0
Pli-AMvi_049-Ex1-4E-lcwgs-1-1.clmp.fp2_r2_screen	19.0	32.0	2.0	3.0	1.0	2.0	1.0	1.0	0.0	0.0	923.0	2166.0
Pli-AMvi_049-Ex1-4E-lcwgs-2-1.clmp.fp2_r1_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	48.0
Pli-AMvi_049-Ex1-4E-lcwgs-2-1.clmp.fp2_r2_screen	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	48.0
Pli-AMvi_050-Ex1-5E-lcwgs-1-1.clmp.fp2_r1_screen	3.0	19.0	5.0	3.0	2.0	1.0	2.0	0.0	0.0	0.0	567.0	1268.0
Pli-AMvi_050-Ex1-5E-lcwgs-1-1.clmp.fp2_r2_screen	3.0	18.0	4.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	620.0	1223.0
Pli-AMvi_050-Ex1-5E-lcwgs-2-1.clmp.fp2_r1_screen	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	123.0
Pli-AMvi_050-Ex1-5E-lcwgs-2-1.clmp.fp2_r2_screen	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	121.0
Pli-AMvi_051-Ex1-6E-lcwgs-1-1.clmp.fp2_r1_screen	22.0	49.0	5.0	2.0	2.0	2.0	1.0	0.0	0.0	0.0	1335.0	3632.0
Pli-AMvi_051-Ex1-6E-lcwgs-1-1.clmp.fp2_r2_screen	20.0	43.0	5.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1355.0	3624.0
Pli-AMvi_051-Ex1-6E-lcwgs-2-1.clmp.fp2_r1_screen	35.0	42.0	3.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	698.0	3712.0
Pli-AMvi_051-Ex1-6E-lcwgs-2-1.clmp.fp2_r2_screen	34.0	34.0	1.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	689.0	3730.0
Pli-AMvi_052-Ex1-7D-lcwgs-1-1.clmp.fp2_r1_screen	1379.0	3360.0	417.0	312.0	123.0	161.0	50.0	23.0	1.0	0.0	42427.0	336226.0
Pli-AMvi_052-Ex1-7D-lcwgs-1-1.clmp.fp2_r2_screen	1347.0	3452.0	428.0	294.0	110.0	166.0	49.0	37.0	1.0	0.0	42061.0	336534.0
Pli-AMvi_052-Ex1-7D-lcwgs-2-1.clmp.fp2_r1_screen	43.0	17.0	4.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	236.0	1668.0
Pli-AMvi_052-Ex1-7D-lcwgs-2-1.clmp.fp2_r2_screen	38.0	18.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	233.0	1678.0
Pli-AMvi_053-Ex1-8D-lcwgs-1-1.clmp.fp2_r1_screen	9.0	28.0	2.0	2.0	2.0	0.0	1.0	1.0	0.0	0.0	701.0	2068.0
Pli-AMvi_053-Ex1-8D-lcwgs-1-1.clmp.fp2_r2_screen	9.0	27.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	780.0	1992.0
Pli-AMvi_053-Ex1-8D-lcwgs-2-1.clmp.fp2_r1_screen	8.0	8.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	25.0	189.0
Pli-AMvi_053-Ex1-8D-lcwgs-2-1.clmp.fp2_r2_screen	6.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	28.0	193.0
Pli-AMvi_054-Ex1-9D-lcwgs-1-1.clmp.fp2_r1_screen	67.0	365.0	86.0	23.0	9.0	13.0	2.0	1.0	1.0	0.0	4863.0	39624.0
Pli-AMvi_054-Ex1-9D-lcwgs-1-1.clmp.fp2_r2_screen	69.0	384.0	76.0	21.0	9.0	12.0	5.0	6.0	2.0	0.0	4868.0	39602.0
Pli-AMvi_054-Ex1-9D-lcwgs-2-1.clmp.fp2_r1_screen	27.0	2.0	19.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	253.0
Pli-AMvi_054-Ex1-9D-lcwgs-2-1.clmp.fp2_r2_screen	21.0	6.0	19.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	50.0	259.0
Pli-AMvi_055-Ex1-10D-lcwgs-1-1.clmp.fp2_r1_screen	207.0	892.0	102.0	71.0	25.0	37.0	16.0	3.0	0.0	0.0	8899.0	92054.0
Pli-AMvi_055-Ex1-10D-lcwgs-1-1.clmp.fp2_r2_screen	208.0	856.0	100.0	65.0	26.0	38.0	14.0	5.0	1.0	0.0	8867.0	92126.0
Pli-AMvi_055-Ex1-10D-lcwgs-2-1.clmp.fp2_r1_screen	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	98.0
Pli-AMvi_055-Ex1-10D-lcwgs-2-1.clmp.fp2_r2_screen	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	98.0
Pli-AMvi_056-Ex1-11D-lcwgs-1-1.clmp.fp2_r1_screen	40.0	75.0	6.0	3.0	2.0	4.0	1.0	0.0	0.0	0.0	1314.0	5146.0
Pli-AMvi_056-Ex1-11D-lcwgs-1-1.clmp.fp2_r2_screen	42.0	59.0	3.0	8.0	2.0	0.0	1.0	2.0	2.0	0.0	1403.0	5069.0
Pli-AMvi_056-Ex1-11D-lcwgs-2-1.clmp.fp2_r1_screen	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	45.0
Pli-AMvi_056-Ex1-11D-lcwgs-2-1.clmp.fp2_r2_screen	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	40.0
Pli-AMvi_057-Ex1-12D-lcwgs-1-1.clmp.fp2_r1_screen	2.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	210.0
Pli-AMvi_057-Ex1-12D-lcwgs-1-1.clmp.fp2_r2_screen	2.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	208.0
Pli-AMvi_057-Ex1-12D-lcwgs-2-1.clmp.fp2_r1_screen	74.0	9.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	452.0
Pli-AMvi_057-Ex1-12D-lcwgs-2-1.clmp.fp2_r2_screen	74.0	7.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	461.0
Pli-AMvi_058-Ex1-1F-lcwgs-1-1.clmp.fp2_r1_screen	5.0	29.0	8.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	764.0	1210.0
Pli-AMvi_058-Ex1-1F-lcwgs-1-1.clmp.fp2_r2_screen	6.0	14.0	6.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	830.0	1160.0
Pli-AMvi_058-Ex1-1F-lcwgs-2-1.clmp.fp2_r1_screen	249227.0	16917.0	1232.0	143.0	1.0	7.0	0.0	118.0	0.0	0.0	117069.0	506445.0
Pli-AMvi_058-Ex1-1F-lcwgs-2-1.clmp.fp2_r2_screen	245874.0	16730.0	1257.0	182.0	0.0	3.0	1.0	118.0	2.0	0.0	108694.0	518298.0
Pli-AMvi_059-Ex1-2F-lcwgs-1-1.clmp.fp2_r1_screen	49.0	54.0	33.0	6.0	1.0	4.0	1.0	0.0	0.0	0.0	1021.0	4318.0
Pli-AMvi_059-Ex1-2F-lcwgs-1-1.clmp.fp2_r2_screen	53.0	46.0	37.0	3.0	3.0	2.0	0.0	0.0	0.0	0.0	1087.0	4256.0
Pli-AMvi_059-Ex1-2F-lcwgs-2-1.clmp.fp2_r1_screen	23.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	94.0
Pli-AMvi_059-Ex1-2F-lcwgs-2-1.clmp.fp2_r2_screen	21.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	95.0
Pli-AMvi_060-Ex1-3F-lcwgs-1-1.clmp.fp2_r1_screen	13.0	44.0	7.0	4.0	4.0	2.0	0.0	2.0	0.0	0.0	829.0	4520.0
Pli-AMvi_060-Ex1-3F-lcwgs-1-1.clmp.fp2_r2_screen	12.0	41.0	6.0	3.0	3.0	4.0	0.0	1.0	0.0	0.0	918.0	4437.0
Pli-AMvi_060-Ex1-3F-lcwgs-2-1.clmp.fp2_r1_screen	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	59.0
Pli-AMvi_060-Ex1-3F-lcwgs-2-1.clmp.fp2_r2_screen	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	61.0
Pli-AMvi_061-Ex1-4F-lcwgs-1-1.clmp.fp2_r1_screen	16.0	35.0	5.0	4.0	4.0	1.0	1.0	0.0	0.0	0.0	871.0	2249.0
Pli-AMvi_061-Ex1-4F-lcwgs-1-1.clmp.fp2_r2_screen	21.0	34.0	1.0	4.0	2.0	1.0	1.0	1.0	0.0	0.0	933.0	2188.0
Pli-AMvi_061-Ex1-4F-lcwgs-2-1.clmp.fp2_r1_screen	17.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	54.0
Pli-AMvi_061-Ex1-4F-lcwgs-2-1.clmp.fp2_r2_screen	16.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0	57.0
Pli-AMvi_062-Ex1-5F-lcwgs-1-1.clmp.fp2_r1_screen	4.0	20.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	647.0	1480.0
Pli-AMvi_062-Ex1-5F-lcwgs-1-1.clmp.fp2_r2_screen	4.0	20.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	678.0	1449.0
Pli-AMvi_062-Ex1-5F-lcwgs-2-1.clmp.fp2_r1_screen	23.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	219.0
Pli-AMvi_062-Ex1-5F-lcwgs-2-1.clmp.fp2_r2_screen	16.0	3.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	25.0	217.0
Pli-AMvi_063-Ex1-6F-lcwgs-1-1.clmp.fp2_r1_screen	10.0	79.0	7.0	4.0	1.0	1.0	1.0	0.0	0.0	0.0	1801.0	6249.0
Pli-AMvi_063-Ex1-6F-lcwgs-1-1.clmp.fp2_r2_screen	9.0	67.0	14.0	8.0	1.0	1.0	2.0	0.0	0.0	0.0	1826.0	6225.0
Pli-AMvi_063-Ex1-6F-lcwgs-2-1.clmp.fp2_r1_screen	51.0	9.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	607.0
Pli-AMvi_063-Ex1-6F-lcwgs-2-1.clmp.fp2_r2_screen	58.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	599.0
Pli-AMvi_064-Ex1-7E-lcwgs-1-1.clmp.fp2_r1_screen	346.0	797.0	130.0	85.0	47.0	42.0	13.0	7.0	1.0	0.0	8738.0	92361.0
Pli-AMvi_064-Ex1-7E-lcwgs-1-1.clmp.fp2_r2_screen	341.0	847.0	135.0	96.0	47.0	35.0	18.0	10.0	0.0	0.0	8738.0	92300.0
Pli-AMvi_064-Ex1-7E-lcwgs-2-1.clmp.fp2_r1_screen	20.0	10.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	800.0
Pli-AMvi_064-Ex1-7E-lcwgs-2-1.clmp.fp2_r2_screen	23.0	11.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	800.0
Pli-AMvi_065-Ex1-8E-lcwgs-1-1.clmp.fp2_r1_screen	283.0	606.0	90.0	53.0	25.0	30.0	15.0	7.0	0.0	0.0	4201.0	52344.0
Pli-AMvi_065-Ex1-8E-lcwgs-1-1.clmp.fp2_r2_screen	271.0	582.0	76.0	54.0	25.0	38.0	12.0	8.0	3.0	0.0	4305.0	52280.0
Pli-AMvi_065-Ex1-8E-lcwgs-2-1.clmp.fp2_r1_screen	9.0	29.0	4.0	1.0	4.0	1.0	1.0	0.0	0.0	0.0	239.0	2759.0
Pli-AMvi_065-Ex1-8E-lcwgs-2-1.clmp.fp2_r2_screen	8.0	26.0	1.0	2.0	3.0	0.0	0.0	1.0	0.0	0.0	233.0	2773.0
Pli-AMvi_066-Ex1-9E-lcwgs-1-1.clmp.fp2_r1_screen	10.0	32.0	26.0	2.0	0.0	1.0	3.0	0.0	0.0	0.0	622.0	1849.0
Pli-AMvi_066-Ex1-9E-lcwgs-1-1.clmp.fp2_r2_screen	10.0	17.0	28.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	669.0	1818.0
Pli-AMvi_066-Ex1-9E-lcwgs-2-1.clmp.fp2_r1_screen	20.0	3.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	141.0
Pli-AMvi_066-Ex1-9E-lcwgs-2-1.clmp.fp2_r2_screen	20.0	1.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	140.0
Pli-AMvi_067-Ex1-10E-lcwgs-1-1.clmp.fp2_r1_screen	79.0	191.0	195.0	18.0	12.0	10.0	4.0	1.0	0.0	0.0	2523.0	21498.0
Pli-AMvi_067-Ex1-10E-lcwgs-1-1.clmp.fp2_r2_screen	77.0	191.0	201.0	15.0	11.0	11.0	4.0	0.0	0.0	0.0	2530.0	21491.0
Pli-AMvi_067-Ex1-10E-lcwgs-2-1.clmp.fp2_r1_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0
Pli-AMvi_067-Ex1-10E-lcwgs-2-1.clmp.fp2_r2_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0
Pli-AMvi_068-Ex1-1E-lcwgs-1-1.clmp.fp2_r1_screen	6.0	15.0	6.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	911.0	1347.0
Pli-AMvi_068-Ex1-1E-lcwgs-1-1.clmp.fp2_r2_screen	8.0	18.0	2.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	966.0	1290.0
Pli-AMvi_068-Ex1-1E-lcwgs-2-1.clmp.fp2_r1_screen	18.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	91.0
Pli-AMvi_068-Ex1-1E-lcwgs-2-1.clmp.fp2_r2_screen	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	91.0
Pli-AMvi_069-Ex1-12E-lcwgs-1-1.clmp.fp2_r1_screen	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	274.0
Pli-AMvi_069-Ex1-12E-lcwgs-1-1.clmp.fp2_r2_screen	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	266.0
Pli-AMvi_069-Ex1-12E-lcwgs-2-1.clmp.fp2_r1_screen	136952.0	8555.0	379.0	160.0	0.0	1.0	0.0	59.0	1.0	0.0	62808.0	303633.0
Pli-AMvi_069-Ex1-12E-lcwgs-2-1.clmp.fp2_r2_screen	134914.0	8512.0	389.0	147.0	1.0	1.0	0.0	57.0	0.0	0.0	58385.0	310142.0
Pli-AMvi_070-Ex1-1G-lcwgs-1-1.clmp.fp2_r1_screen	3.0	27.0	3.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	826.0	1590.0
Pli-AMvi_070-Ex1-1G-lcwgs-1-1.clmp.fp2_r2_screen	3.0	15.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	867.0	1564.0
Pli-AMvi_070-Ex1-1G-lcwgs-2-1.clmp.fp2_r1_screen	359025.0	25712.0	1868.0	248.0	0.0	4.0	4.0	144.0	0.0	0.0	169686.0	809085.0
Pli-AMvi_070-Ex1-1G-lcwgs-2-1.clmp.fp2_r2_screen	353611.0	25366.0	1855.0	245.0	2.0	5.0	4.0	150.0	1.0	0.0	157014.0	827523.0
Pli-AMvi_071-Ex1-2G-lcwgs-1-1.clmp.fp2_r1_screen	54.0	51.0	37.0	2.0	7.0	2.0	0.0	0.0	0.0	0.0	1161.0	5444.0
Pli-AMvi_071-Ex1-2G-lcwgs-1-1.clmp.fp2_r2_screen	53.0	42.0	33.0	6.0	3.0	5.0	1.0	1.0	0.0	0.0	1245.0	5369.0
Pli-AMvi_071-Ex1-2G-lcwgs-2-1.clmp.fp2_r1_screen	297309.0	21360.0	1317.0	322.0	0.0	1.0	8.0	148.0	0.0	0.0	139320.0	737259.0
Pli-AMvi_071-Ex1-2G-lcwgs-2-1.clmp.fp2_r2_screen	292942.0	21023.0	1324.0	335.0	1.0	6.0	5.0	137.0	1.0	0.0	127971.0	753299.0
Pli-AMvi_072-Ex1-3G-lcwgs-1-1.clmp.fp2_r1_screen	16.0	48.0	6.0	5.0	0.0	3.0	2.0	0.0	0.0	0.0	888.0	5912.0
Pli-AMvi_072-Ex1-3G-lcwgs-1-1.clmp.fp2_r2_screen	13.0	58.0	7.0	8.0	1.0	1.0	2.0	3.0	0.0	0.0	937.0	5850.0
Pli-AMvi_072-Ex1-3G-lcwgs-2-1.clmp.fp2_r1_screen	19.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	205.0
Pli-AMvi_072-Ex1-3G-lcwgs-2-1.clmp.fp2_r2_screen	23.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	205.0
Pli-AMvi_073-Ex1-4G-lcwgs-1-1.clmp.fp2_r1_screen	20.0	42.0	5.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	944.0	2815.0
Pli-AMvi_073-Ex1-4G-lcwgs-1-1.clmp.fp2_r2_screen	21.0	34.0	5.0	0.0	3.0	0.0	1.0	1.0	1.0	0.0	1008.0	2756.0
Pli-AMvi_073-Ex1-4G-lcwgs-2-1.clmp.fp2_r1_screen	67.0	50.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	598.0	4047.0
Pli-AMvi_073-Ex1-4G-lcwgs-2-1.clmp.fp2_r2_screen	66.0	51.0	2.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	616.0	4027.0
Pli-AMvi_074-Ex1-5G-lcwgs-1-1.clmp.fp2_r1_screen	9.0	24.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	587.0	1773.0
Pli-AMvi_074-Ex1-5G-lcwgs-1-1.clmp.fp2_r2_screen	6.0	18.0	1.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	649.0	1718.0
Pli-AMvi_074-Ex1-5G-lcwgs-2-1.clmp.fp2_r1_screen	51.0	12.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	86.0	703.0
Pli-AMvi_074-Ex1-5G-lcwgs-2-1.clmp.fp2_r2_screen	49.0	12.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	707.0
Pli-AMvi_075-Ex1-6G-lcwgs-1-1.clmp.fp2_r1_screen	5.0	19.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	486.0	1286.0
Pli-AMvi_075-Ex1-6G-lcwgs-1-1.clmp.fp2_r2_screen	7.0	27.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	506.0	1256.0
Pli-AMvi_075-Ex1-6G-lcwgs-2-1.clmp.fp2_r1_screen	52728.0	5880.0	1292.0	489.0	96.0	152.0	38.0	41.0	4.0	0.0	46966.0	337295.0
Pli-AMvi_075-Ex1-6G-lcwgs-2-1.clmp.fp2_r2_screen	52326.0	5791.0	1280.0	461.0	86.0	158.0	45.0	42.0	0.0	0.0	45450.0	339342.0
Pli-AMvi_076-Ex1-7F-lcwgs-1-1.clmp.fp2_r1_screen	46.0	298.0	22.0	28.0	14.0	8.0	1.0	0.0	4.0	0.0	4649.0	34384.0
Pli-AMvi_076-Ex1-7F-lcwgs-1-1.clmp.fp2_r2_screen	53.0	284.0	23.0	22.0	14.0	7.0	1.0	1.0	0.0	0.0	4646.0	34403.0
Pli-AMvi_076-Ex1-7F-lcwgs-2-1.clmp.fp2_r1_screen	40.0	5.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	46.0	285.0
Pli-AMvi_076-Ex1-7F-lcwgs-2-1.clmp.fp2_r2_screen	53.0	6.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	36.0	279.0
Pli-AMvi_077-Ex1-8F-lcwgs-1-1.clmp.fp2_r1_screen	10.0	38.0	2.0	2.0	1.0	2.0	2.0	0.0	0.0	0.0	734.0	2618.0
Pli-AMvi_077-Ex1-8F-lcwgs-1-1.clmp.fp2_r2_screen	6.0	18.0	6.0	4.0	2.0	2.0	0.0	1.0	0.0	0.0	777.0	2593.0
Pli-AMvi_077-Ex1-8F-lcwgs-2-1.clmp.fp2_r1_screen	15.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	149.0
Pli-AMvi_077-Ex1-8F-lcwgs-2-1.clmp.fp2_r2_screen	18.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	15.0	149.0
Pli-AMvi_078-Ex1-9F-lcwgs-1-1.clmp.fp2_r1_screen	16.0	30.0	34.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	591.0	1864.0
Pli-AMvi_078-Ex1-9F-lcwgs-1-1.clmp.fp2_r2_screen	14.0	19.0	31.0	1.0	3.0	3.0	0.0	1.0	0.0	0.0	637.0	1831.0
